ASIN,Name
B09NKT2PK7,Delideal Fridge Full Body Cover for Liebherr 220 litres 4 Star Single Door Refrigerator Db 2240 and wwaterproof/dustproof (Design no:1711DD019)
B08KS4H1C8,Voltas Beko 251 L 2 Star Frost Free Double Door Refrigerator (Emeria Red) (2020) RFF2753EREF
B09BM4RBZ8,Voltas Beko RBM743IF 695 Litre Bottom Mounted Refrigerator (Inox Look) Biggest In The Category
B0B2Y4SBSL,"Lloyd 340 L 2 Star Inverter Frost Free Double Door Refrigerator (GLFF342AMNT1PB, Metallic Navy)"
B0B4HBHW46,"Lloyd 534 Litre Double Door Convertible Deep Freezer, (GLHT550CDD, White)"
B0B2T75DRG,"Lloyd 276 L 2 Star Inverter Frost Free Double Door Refrigerator (GLFF282AMNT1PB, Metallic Navy)"
B0B2LMVKD7,"Lloyd 419 Liters Sliding type Glass Top Deep Freezer (GLGT450AGD, White)"
