Date,Sales,Rank,Price
29/10/2022,12,691,252
30/07/2022,12,694,252
03/01/2022,12,697,239.22
25/04/2022,12,699,240
09/03/2022,12,703,245.9
23/01/2022,12,705,233.32
05/01/2022,12,709,238.44
26/04/2022,12,711,241.09
15/01/2022,12,717,234.54
20/01/2022,12,720,232.59
12/01/2022,12,724,235.71
14/03/2022,12,727,242.25
06/01/2022,12,730,238.05
01/02/2022,12,734,243.99
31/10/2022,12,737,252
30/08/2021,15,739,245.6
08/01/2022,11,744,237.27
20/03/2022,11,750,250.48
25/10/2022,11,757,252
22/01/2022,11,763,231.7
11/03/2022,11,766,244.44
03/02/2022,11,771,246.65
04/01/2022,11,777,238.83
02/09/2021,15,779,251.34
29/04/2022,11,783,244.36
04/09/2021,10,785,250.02
05/03/2022,11,793,248.82
07/10/2022,11,799,252
27/04/2022,11,801,242.18
10/04/2022,11,803,245.41
15/01/2021,10,810,109.4
14/01/2021,10,817,109.36
07/06/2022,10,823,252
16/08/2022,10,831,252
08/03/2022,10,837,68.84
17/01/2021,10,843,109.48
15/11/2020,10,846,100
19/01/2021,10,848,109.57
02/12/2020,10,858,117.75
08/02/2022,10,865,251.37
03/09/2021,11,872,250.68
13/01/2021,10,876,109.32
18/01/2021,10,878,109.52
31/07/2022,10,881,252
09/01/2022,10,884,236.88
07/03/2022,10,886,247.36
12/01/2021,10,894,109.28
13/03/2022,10,901,68.04
16/03/2022,10,904,67.56
21/09/2022,10,909,252
22/07/2022,10,912,252
08/07/2022,10,919,252
12/03/2022,10,924,68.2
26/04/2022,10,930,175.84
18/05/2021,10,934,139.74
28/10/2022,10,940,252
26/10/2022,10,947,252
01/10/2022,10,951,252
15/12/2020,9,958,111
01/11/2022,9,962,252
03/10/2022,9,970,252
05/11/2022,9,974,252
16/04/2022,9,981,249.31
11/04/2022,9,983,246.06
01/10/2021,9,989,68.68
21/07/2022,9,992,179.31
13/11/2022,8,995,178
02/10/2021,11,999,176
04/10/2022,9,1001,252
18/09/2022,9,1004,252
