Date,Sales,Rank,Price
27/01/2022,8,819,402
01/09/2021,8,823,393.48
30/01/2022,8,827,374
11/09/2021,8,831,386.88
04/11/2021,8,833,408
29/01/2022,8,836,383.34
05/06/2022,8,841,387.05
25/01/2022,8,845,388
22/07/2021,8,849,179.2
12/07/2021,8,851,172
15/06/2022,8,856,306
22/01/2022,8,861,383.34
02/01/2022,8,865,401.42
25/10/2022,8,868,340
24/09/2021,8,870,378.3
21/08/2021,7,874,400.74
18/08/2021,7,876,402.72
28/10/2021,7,879,325.45
03/01/2022,7,882,403
16/01/2022,7,885,306
04/06/2022,7,890,384.44
09/11/2021,7,899,408
07/11/2021,7,903,408
29/08/2021,7,907,395.46
16/01/2021,9,910,175
20/01/2021,10,916,161.5
25/08/2022,7,919,306
24/01/2022,7,921,381
29/07/2021,8,926,179
30/08/2021,7,931,394.8
21/06/2022,8,934,115
24/04/2022,7,940,203.1
14/01/2022,7,942,333.2
06/11/2021,7,949,408
22/08/2021,7,953,400.08
01/12/2021,7,955,407.28
23/01/2022,7,959,374
03/03/2022,8,969,113.32
01/05/2022,6,971,117.2
26/10/2021,7,974,344.87
13/11/2021,7,977,408
13/01/2022,7,982,346.8
31/05/2022,7,989,374
09/01/2022,7,994,391
31/05/2022,7,1001,122.64
14/07/2021,7,1004,171
