Date,Sales,Rank,Price
02/03/2021,10,942,1295
06/09/2021,10,950,139.84
26/08/2021,9,957,141
20/06/2017,9,962,239.36
01/06/2022,9,964,286.65
30/08/2021,9,966,134.2
14/09/2021,9,971,140
03/10/2020,9,977,540.89
21/09/2021,9,985,139.49
12/01/2022,9,987,254
20/12/2021,9,989,205
15/09/2021,9,991,139
03/07/2018,9,996,665.7
31/08/2021,9,1002,135.81
