ASIN,Date,Category,BSR,Last Known BSR
18402,15/09/2022,Shampoo,10,
18402,16/09/2022,Shampoo,11,10
18402,17/09/2022,Shampoo,11,11
18402,18/09/2022,Shampoo,11,11
10500,15/09/2022,Shampoo,12,
10500,16/09/2022,Shampoo,13,12
10500,17/09/2022,Shampoo,13,13
10500,18/09/2022,Shampoo,13,13
874067,15/09/2022,Shampoo,13,
874067,16/09/2022,Shampoo,14,13
874067,17/09/2022,Shampoo,14,14
874067,18/09/2022,Shampoo,14,14
72139,15/09/2022,Shampoo,15,
72139,16/09/2022,Shampoo,17,15
72139,17/09/2022,Shampoo,17,17
72139,18/09/2022,Shampoo,17,17
1323563,15/09/2022,Shampoo,16,
1323563,16/09/2022,Shampoo,18,16
1323563,17/09/2022,Shampoo,18,18
1323563,18/09/2022,Shampoo,18,18
1328949,15/09/2022,Shampoo,18,
1328949,16/09/2022,Shampoo,20,18
1328949,17/09/2022,Shampoo,20,20
1328949,18/09/2022,Shampoo,20,20
10506,15/09/2022,Shampoo,19,
10506,16/09/2022,Shampoo,21,19
10506,17/09/2022,Shampoo,21,21
10506,18/09/2022,Shampoo,21,21
72164,15/09/2022,Shampoo,20,
72164,16/09/2022,Shampoo,22,20
72164,17/09/2022,Shampoo,23,22
72164,18/09/2022,Shampoo,22,23
10495,15/09/2022,Shampoo,26,
10495,16/09/2022,Shampoo,28,26
10495,17/09/2022,Shampoo,27,28
10495,18/09/2022,Shampoo,26,27
10499,15/09/2022,Shampoo,27,
10499,16/09/2022,Shampoo,27,27
10499,17/09/2022,Shampoo,28,27
10499,18/09/2022,Shampoo,27,28
1328938,15/09/2022,Shampoo,28,
1328938,16/09/2022,Shampoo,29,28
1328938,17/09/2022,Shampoo,29,29
1328938,18/09/2022,Shampoo,29,29
72162,15/09/2022,Shampoo,32,
72162,16/09/2022,Shampoo,34,32
72162,17/09/2022,Shampoo,33,34
72162,18/09/2022,Shampoo,33,33
208219,15/09/2022,Shampoo,33,
208219,16/09/2022,Shampoo,36,33
208219,17/09/2022,Shampoo,36,36
208219,18/09/2022,Shampoo,35,36
10497,15/09/2022,Shampoo,35,
10497,16/09/2022,Shampoo,35,35
10497,17/09/2022,Shampoo,34,35
10497,18/09/2022,Shampoo,34,34
3798202,15/09/2022,Shampoo,39,
3798202,16/09/2022,Shampoo,42,39
3798202,17/09/2022,Shampoo,42,42
3798202,18/09/2022,Shampoo,41,42
1321112,15/09/2022,Shampoo,51,
1321112,16/09/2022,Shampoo,53,51
1321112,17/09/2022,Shampoo,53,53
1321112,18/09/2022,Shampoo,51,53
1323562,15/09/2022,Shampoo,61,
1323562,16/09/2022,Shampoo,62,61
1323562,17/09/2022,Shampoo,62,62
1323562,18/09/2022,Shampoo,62,62
10503,15/09/2022,Shampoo,64,
10503,16/09/2022,Shampoo,65,64
10503,17/09/2022,Shampoo,65,65
10503,18/09/2022,Shampoo,63,65
1328952,15/09/2022,Shampoo,67,
1328952,16/09/2022,Shampoo,66,67
1328952,17/09/2022,Shampoo,66,66
1328952,18/09/2022,Shampoo,66,66
1162179,15/09/2022,Shampoo,22,
1162179,16/09/2022,Shampoo,24,22
1162179,17/09/2022,Shampoo,24,24
1162179,18/09/2022,Shampoo,23,24
6671067,15/09/2022,Shampoo,31,
6671067,16/09/2022,Shampoo,32,31
6671067,17/09/2022,Shampoo,26,32
6671067,18/09/2022,Shampoo,24,26
10970,15/09/2022,Shampoo,53,
10970,16/09/2022,Shampoo,56,53
10970,17/09/2022,Shampoo,55,56
10970,18/09/2022,Shampoo,55,55
10672,15/09/2022,Shampoo,56,
10672,16/09/2022,Shampoo,59,56
10672,17/09/2022,Shampoo,59,59
10672,18/09/2022,Shampoo,57,59
1370749,15/09/2022,Shampoo,59,
1370749,16/09/2022,Shampoo,63,59
1370749,17/09/2022,Shampoo,64,63
1370749,18/09/2022,Shampoo,64,64
936397,15/09/2022,Shampoo,60,
936397,16/09/2022,Shampoo,61,60
936397,17/09/2022,Shampoo,61,61
936397,18/09/2022,Shampoo,59,61
220222,15/09/2022,Shampoo,79,
220222,16/09/2022,Shampoo,80,79
220222,17/09/2022,Shampoo,80,80
220222,18/09/2022,Shampoo,78,80
6282,15/09/2022,Shampoo,106,
6282,16/09/2022,Shampoo,107,106
6282,17/09/2022,Shampoo,107,107
6282,18/09/2022,Shampoo,105,107
