Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Present
Nourishing Shampoo,-1,4962942,"TAC - The Ayurveda Co. Lip And Cheek Tint, Shea Butter Lip Stain (Beet Mighty Pink)",Tac - The Ayurveda Co.,476.0,595.0,False
Nourishing Shampoo,-1,389888,"Bajaj Almond Drops Hair Oil enriched with 6X Vitamin E, Reduces Hair Fall",Bajaj,370.0,435.0,False
Nourishing Shampoo,-1,5478313,Buds & Berries Rice Water & Chia Seed Shampoo,Buds & Berries,375.0,500.0,False
Nourishing Shampoo,-1,2792658,MCaffeine Coffee Shampoo & Conditioner Duo for Hair Fall Control & Nourishment,Mcaffeine,795.0,998.0,False
Nourishing Shampoo,-1,906457,L'Oreal Paris Bestseller's Regime Nourishment Kit,L'Oreal Paris,1207.0,1207.0,False
Nourishing Shampoo,-1,294918,Soulflower Coldpressed Olive Carrier Oil,Soulflower,183.0,215.0,False
Nourishing Shampoo,-1,946335,Streax Professional Spa Nourishment Hair Masque,Streax Professional,523.0,550.0,False
Nourishing Shampoo,-1,859289,TNW The Natural Wash Onion Hair Oil for Hair Growth & Reduce Hair Fall with Comb Applicator,Tnw The Natural Wash,280.0,350.0,False
Nourishing Shampoo,-1,305227,Ustraa Daily Use Hair & Scalp Nourishment Cream,Ustraa,169.0,199.0,False
Nourishing Shampoo,-1,1484950,MCaffeine Coffee & Milk Moisturizing Face Scrub with Shea Butter for Gentle Exfoliation & Skin Nourishment,Mcaffeine,199.0,229.0,False
Nourishing Shampoo,-1,1010843,Kama Ayurveda Top To Toe Nourishment Gift Box,Kama Ayurveda,795.0,795.0,False
Nourishing Shampoo,-1,2633252,"Kapiva Ayurveda Hair Care Juice - For Hair Nourishment - With Amla, Noni, Bhringraj & Ashwagandha",Kapiva Ayurveda,594.0,699.0,False
Nourishing Shampoo,-1,91601,"Soulflower Castor Oil For Hair & Skin Nourishment Pure, Natural and Coldpressed Hair Oil",Soulflower,298.0,350.0,False
Nourishing Shampoo,-1,6939495,Buds & Berries Rice Water And Chia Seeds Hair Nourishment Regimen (Shampoo + Hair Mask),Buds & Berries,825.0,1100.0,False
Nourishing Shampoo,-1,1017255,Cetaphil Winter Essentials For Extra Nourishment,Cetaphil,893.0,940.0,False
Nourishing Shampoo,-1,1184602,Nykaa Wanderlust French Lavender Shower Gel + Body Scrub + Body Butter All day Nourishment Combo,Wanderlust,1063.0,1250.0,False
Nourishing Shampoo,-1,5506693,Mamaearth Onion Hair Styling Cream For Men With Onion & Redensyl For Nourishment & Styling,Mamaearth,263.0,299.0,False
Nourishing Shampoo,-1,5091885,Vedix Onion Hair Oil - Dry Hair - Snihith Deep Nourishment Anti Hair Fall Oil,Vedix,439.0,549.0,False
Nourishing Shampoo,-1,1399617,"TAC - The Ayurveda Co. Hair Mask with Methi & Amla, for Fizzy & Damaged Hair & Deep Nourishment",Tac - The Ayurveda Co.,676.0,795.0,False
Nourishing Shampoo,-1,5788869,Dove Amplified Moisture Spa Recovery Hair Mask For Curls & Coils With Intense Nourishment,Dove,899.0,899.0,False
Nourishing Shampoo,-1,3512320,MCaffeine Natural Loofah for Deep Cleansing & Dead Skin Removal,Mcaffeine,159.0,199.0,False
Nourishing Shampoo,-1,19760,Lotus Herbals Whiteglow 3-in-1 Deep Cleansing Skin Whitening Facial Foam,Lotus Herbals,116.0,155.0,False
Nourishing Shampoo,-1,197303,Lakme Deep Cleanser Cleansing Milk,Lakme,135.0,150.0,False
Nourishing Shampoo,-1,262938,Klairs Gentle Black Deep Cleansing Oil,Klairs,1335.0,1570.0,False
