ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
3798201,"L'Oreal Professionnel Anti-hair Loss Regime With Density Advanced Shampoo And Aminexil, Serie Expert",L'Oreal Professionnel,2381,136,17,4.3,NA,NA,2645,2381,141,0,1,,
72158,L'Oreal Professionnel Mythic Oil Shampoo & Masque,L'Oreal Professionnel,1919,160,26,4.3,NA,NA,2020,1919,161,0,1,Combos @ Nykaa,
6788978,L'Oreal Professionnel Pro Longer Lengths-Renewing Regime Shampoo + Ampuole,L'Oreal Professionnel,1958,625,1,4.4,NA,NA,2175,1958,646,0,1,,
5342883,L'Oreal Professionnel Metal Dx Anti-Metal Cleansing Cream Shampoo Serie Expert,L'Oreal Professionnel,1200,1,24,4.5,NA,NA,1200,1200,1,0,1,Shampoo,
18402,"L'Oreal Professionnel Absolut Repair Shampoo with Protein and Gold Quinoa, Serie Expert",L'Oreal Professionnel,695,11,1191,4.4,NA,NA,695,695,11,0,1,Shampoo,
10500,LOreal Professionnel X-Tenso Care Pro-Keratine + Incell Shampoo,L'Oreal Professionnel,610,13,1288,4.3,NA,NA,610,610,13,0,1,Shampoo,
874067,L'Oreal Professionnel X-Tenso Care Shampoo Sulfate Free,L'Oreal Professionnel,950,14,385,4.3,NA,NA,950,950,14,0,1,Shampoo,
72139,"L'Oreal Professionnel Absolut Repair Shampoo 300ml & Hair Mask 250gm Combo, Serie Expert",L'Oreal Professionnel,1477,17,21,4.4,NA,NA,1555,1477,17,0,1,Combos @ Nykaa,
1323563,L'Oreal Professionnel X-Tenso Care Sulfate free Shampoo & Masque,L'Oreal Professionnel,1914,18,12,4.3,NA,NA,2015,1914,18,0,1,Combos @ Nykaa,
1328949,L'Oreal Professionnel X-Tenso Shampoo + Masque + Serum,L'Oreal Professionnel,1862,20,72,4.4,NA,NA,1960,1862,20,0,1,Combos @ Nykaa,
10506,LOreal Professionnel Series Expert Resveratrol Vitamino Color Shampoo,L'Oreal Professionnel,695,21,417,4.4,NA,NA,695,695,21,0,1,Shampoo,
72164,L'Oreal Professionnel X-Tenso Care Pro-Keratine Shampoo & Masque,L'Oreal Professionnel,1264,22,8,4.3,NA,NA,1330,1264,23,0,1,Combos @ Nykaa,
10495,L'Oreal Professionnel Expert Density Advanced Shampoo,L'Oreal Professionnel,695,26,381,4.3,NA,NA,695,695,27,0,1,Shampoo,
10499,"L'Oreal Professionnel Liss Unlimited Shampoo with Pro-Keratin and Kukui Nut Oil, Serie Expert",L'Oreal Professionnel,695,27,644,4.1,NA,NA,695,695,28,0,1,Shampoo,
1328938,"L'Oreal Professionnel Absolut Repair Shampoo 300ml, Hair Mask 250gm & Hair Serum 90ml, Serie Expert",L'Oreal Professionnel,2480,29,14,4.4,NA,NA,2755,2480,29,0,1,Combos @ Nykaa,
72162,"L'Oreal Professionnel Vitamino Color Shampoo 300ml & Hair Mask 250gm, Serie Expert",L'Oreal Professionnel,1477,33,42,4.4,NA,NA,1555,1477,33,0,1,Combos @ Nykaa,
208219,"L'Oreal Professionnel Inforcer Strengthening Shampoo with Vitamin B6 & Biotin, Serie Expert",L'Oreal Professionnel,695,35,541,4.4,NA,NA,695,695,36,0,1,Shampoo,
10497,LOreal Professionnel Instant Clear Piroctone Olamine Serie Expert Anti Dandruff Shampoo,L'Oreal Professionnel,695,34,673,4.3,NA,NA,695,695,34,0,1,Shampoo,
3798202,"L'Oreal Professionnel Xtenso Care Sulfate Free Hair Care Regime With Shampoo, Masque And Serum",L'Oreal Professionnel,2381,41,2,4.4,NA,NA,2645,2381,42,0,1,,
1321112,"L'Oreal Professionnel Inforcer Strengthening Shampoo 300ml & Hair Mask 250gm Combo, Serie Expert",L'Oreal Professionnel,1477,51,14,4.4,NA,NA,1555,1477,53,0,1,Combos @ Nykaa,
1323562,"L'Oreal Professionnel Liss Unlimited Shampoo 300ml & Hair Mask 250gm for frizzy hair, Serie Expert",L'Oreal Professionnel,1477,62,33,4.2,NA,NA,1555,1477,62,0,1,Combos @ Nykaa,
10503,L'Oreal Professionnel Mythic Oil Argan Oil Rich Shampoo,L'Oreal Professionnel,990,63,157,4.3,NA,NA,990,990,65,0,1,Shampoo,
1328952,"L'Oreal Professionnel Liss Unlimited Shampoo 300ml, Hair Mask 250gm & Hair Serum 125ml, Serie Expert",L'Oreal Professionnel,2039,66,10,4.3,NA,NA,2265,2039,66,0,1,Combos @ Nykaa,
1162179,L'Oreal Paris Dream Lengths Shampoo,L'Oreal Paris,575,23,1037,4.4,NA,NA,959,575,24,0,1,Shampoo,
6671067,L'Oreal Paris Hyaluron Moisture 72H Moisture Filling Shampoo,L'Oreal Paris,721,24,44,4.3,NA,NA,1029,721,26,0,1,Shampoo,
10970,L'Oreal Paris Total Repair 5 Shampoo,L'Oreal Paris,569,55,1354,4.4,NA,NA,949,569,55,0,1,Shampoo,
10672,L'Oreal Paris 6 Oil Nourish Shampoo,L'Oreal Paris,479,57,823,4.4,NA,NA,799,479,59,0,1,Shampoo,
1370749,L'Oreal Paris Long Hair Dreams,L'Oreal Paris,1134,64,25,4.4,NA,NA,1417,1414,64,0,1,Combos @ Nykaa,
936397,LOreal Paris Total Repair 5 Shampoo 704ml With Conditioner 192.5ml And Serum 40ml(936.5ml),L'Oreal Paris,712,59,249,4.4,NA,NA,1093,712,61,0,1,Hair Care,
220222,L'Oreal Paris Extraordinary Clay Shampoo,L'Oreal Paris,493,78,1849,4.4,NA,NA,699,457,80,0,1,Shampoo,
6282,L'Oreal Paris Colour Protect Shampoo,L'Oreal Paris,296,105,340,4.4,NA,NA,349,296,107,0,1,Shampoo,
4317603,L'Oreal Paris Extraordinary Oil Smooth Shampoo(Paraben & Silicone Free) 440ml| Nourishing Shampoo,L'Oreal Paris,899,122,41,4.3,NA,NA,999,899,125,0,1,Shampoo,
5951,L'Oreal Paris Fall Resist 3x Shampoo,L'Oreal Paris,281,147,182,4.3,NA,NA,329,281,148,0,1,Shampoo,
7286094,L'Oreal Paris Hyaluron Moisture 3-step Routine Hyaluron Moisture Shampoo + Conditioner + Night Cream,L'Oreal Paris,1335,184,3,4.3,NA,NA,1767,1335,197,0,1,Hair,
6790017,L'Oreal Paris Dream Lengths Shampoo With Detangling Conditioner Free,L'Oreal Paris,729,228,3,4.5,NA,NA,948,729,232,0,1,Shampoo,
906457,L'Oreal Paris Bestseller's Regime Nourishment Kit,L'Oreal Paris,1207,306,,4.5,NA,NA,1207,1207,301,0,1,Combos @ Nykaa,
391197,L'Oreal Paris Fall Resist 3X Anti-Hairfall Shampoo,L'Oreal Paris,454,299,182,4.4,NA,NA,649,454,309,0,1,Shampoo,
4749763,L'Oreal Paris Excellence Creme Hair Color Shade 4 - Natural Brown + Colour Protect Shampoo,L'Oreal Paris,670,405,2,4.5,NA,NA,839,670,427,0,1,,
6790016,L'Oreal Paris Total Repair 5 Shampoo With Keratin With Reparing Conditioner Free,L'Oreal Paris,699,390,,4.3,NA,NA,908,699,402,0,1,Shampoo,
7286093,L'Oreal Paris Hyaluron Moisture 2-step Routine Hyaluron Moisture Shampoo + Conditioner,L'Oreal Paris,911,387,,4.3,NA,NA,1268,911,405,0,1,Hair,
1504363,L'Oreal Paris Extraordinary Hair Kit,L'Oreal Paris,1327,526,18,4.5,NA,NA,1327,1327,529,0,1,Combos @ Nykaa,
4749761,L'Oreal Paris Excellence Creme Hair Color Shade 1 - Black + Colour Protect Shampoo,L'Oreal Paris,670,699,2,4.4,NA,NA,839,670,707,0,1,,
4749762,L'Oreal Paris Excellence Creme Hair Color Shade 3 - Darkest Brown + Colour Protect Shampoo,L'Oreal Paris,670,852,2,4.5,NA,NA,839,670,885,0,1,,
936402,L'Oreal Paris 6 Oil Nourish Shampoo 704ml With Conditioner 192.5ml,L'Oreal Paris,515,,15,4.4,NA,NA,739,515,,0,1,Hair Care,
4749764,L'Oreal Paris Casting Creme Gloss Hair Color 200 Ebony Black + Colour Protect Shampoo,L'Oreal Paris,559,,2,4.4,NA,NA,700,559,,0,1,,
4749758,L'Oreal Paris Extraordinary Oil Combo,L'Oreal Paris,569,,12,4.4,NA,NA,763,569,,0,1,Combos @ Nykaa,
3900023,L'Oreal Paris Extraordinary Hair Care Kit,L'Oreal Paris,408,,5,4.4,NA,NA,707,408,,0,1,,
4749759,L'Oreal Paris Long Hair Dreams Kit: Shampoo + Conditioner + No Haircut Cream,L'Oreal Paris,845,,11,4.3,NA,NA,937,845,,0,1,,
936399,L'Oreal Paris Total Repair 5 Shampoo 396ml With Conditioner 192.5ml,L'Oreal Paris,349,,30,4.4,NA,NA,464,349,,0,1,Hair Care,
3645239,L'Oreal Paris Extraordinary Hair Nourishment Kit,L'Oreal Paris,408,,,4.4,NA,NA,707,408,,0,1,,
5360366,L'Oreal Paris Total Repair 5 Shampoo With Rapid Reviver Deep Conditioner & Total Repair 5 Serum,L'Oreal Paris,415,,1,4.4,NA,NA,815,415,,0,1,,
4766171,L'Oreal Paris Extraordinary Oil Premium Regime Kit For Smooth Hair,L'Oreal Paris,1998,,1,4.4,NA,NA,2297,1998,,0,1,,
3534901,L'Oreal Paris Extraordinary Hair Kit,L'Oreal Paris,608,,1,4.4,NA,NA,907,608,,0,1,,
3534905,L'Oreal Paris Voluminous Dream Lengths Shampoo + No Haircut Cream + Extraordinary Oil Serum 30ml,L'Oreal Paris,848,,5,4.4,NA,NA,1147,848,,0,1,,
