ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
3798201,15/09/2022,2381,,142,,0,1
3798201,16/09/2022,2381,2381,139,142,0,1
3798201,17/09/2022,2381,2381,141,139,0,1
3798201,18/09/2022,2381,2381,136,141,0,1
72158,15/09/2022,1919,,164,,0,1
72158,16/09/2022,1919,1919,162,164,0,1
72158,17/09/2022,1919,1919,161,162,0,1
72158,18/09/2022,1919,1919,160,161,0,1
6788978,15/09/2022,1958,,699,,0,1
6788978,16/09/2022,1958,1958,654,699,0,1
6788978,17/09/2022,1958,1958,646,654,0,1
6788978,18/09/2022,1958,1958,625,646,0,1
5342883,15/09/2022,1200,,1,,0,1
5342883,16/09/2022,1200,1200,1,1,0,1
5342883,17/09/2022,1200,1200,1,1,0,1
5342883,18/09/2022,1200,1200,1,1,0,1
18402,15/09/2022,695,,10,,0,1
18402,16/09/2022,695,695,11,10,0,1
18402,17/09/2022,695,695,11,11,0,1
18402,18/09/2022,695,695,11,11,0,1
10500,15/09/2022,595,,12,,0,1
10500,16/09/2022,610,595,13,12,0,1
10500,17/09/2022,610,610,13,13,0,1
10500,18/09/2022,610,610,13,13,0,1
874067,15/09/2022,950,,13,,0,1
874067,16/09/2022,950,950,14,13,0,1
874067,17/09/2022,950,950,14,14,0,1
874067,18/09/2022,950,950,14,14,0,1
72139,15/09/2022,1477,,15,,0,1
72139,16/09/2022,1477,1477,17,15,0,1
72139,17/09/2022,1477,1477,17,17,0,1
72139,18/09/2022,1477,1477,17,17,0,1
1323563,15/09/2022,1914,,16,,0,1
1323563,16/09/2022,1914,1914,18,16,0,1
1323563,17/09/2022,1914,1914,18,18,0,1
1323563,18/09/2022,1914,1914,18,18,0,1
1328949,15/09/2022,1848,,18,,0,1
1328949,16/09/2022,1862,1848,20,18,0,1
1328949,17/09/2022,1862,1862,20,20,0,1
1328949,18/09/2022,1862,1862,20,20,0,1
10506,15/09/2022,695,,19,,0,1
10506,16/09/2022,695,695,21,19,0,1
10506,17/09/2022,695,695,21,21,0,1
10506,18/09/2022,695,695,21,21,0,1
72164,15/09/2022,1250,,20,,0,1
72164,16/09/2022,1264,1250,22,20,0,1
72164,17/09/2022,1264,1264,23,22,0,1
72164,18/09/2022,1264,1264,22,23,0,1
10495,15/09/2022,695,,26,,0,1
10495,16/09/2022,695,695,28,26,0,1
10495,17/09/2022,695,695,27,28,0,1
10495,18/09/2022,695,695,26,27,0,1
10499,15/09/2022,695,,27,,0,1
10499,16/09/2022,695,695,27,27,0,1
10499,17/09/2022,695,695,28,27,0,1
10499,18/09/2022,695,695,27,28,0,1
1328938,15/09/2022,2480,,28,,0,1
1328938,16/09/2022,2480,2480,29,28,0,1
1328938,17/09/2022,2480,2480,29,29,0,1
1328938,18/09/2022,2480,2480,29,29,0,1
72162,15/09/2022,1477,,32,,0,1
72162,16/09/2022,1477,1477,34,32,0,1
72162,17/09/2022,1477,1477,33,34,0,1
72162,18/09/2022,1477,1477,33,33,0,1
208219,15/09/2022,695,,33,,0,1
208219,16/09/2022,695,695,36,33,0,1
208219,17/09/2022,695,695,36,36,0,1
208219,18/09/2022,695,695,35,36,0,1
10497,15/09/2022,695,,35,,0,1
10497,16/09/2022,695,695,35,35,0,1
10497,17/09/2022,695,695,34,35,0,1
10497,18/09/2022,695,695,34,34,0,1
3798202,15/09/2022,2381,,39,,0,1
3798202,16/09/2022,2381,2381,42,39,0,1
3798202,17/09/2022,2381,2381,42,42,0,1
3798202,18/09/2022,2381,2381,41,42,0,1
1321112,15/09/2022,1477,,51,,0,1
1321112,16/09/2022,1477,1477,53,51,0,1
1321112,17/09/2022,1477,1477,53,53,0,1
1321112,18/09/2022,1477,1477,51,53,0,1
1323562,15/09/2022,1477,,61,,0,1
1323562,16/09/2022,1477,1477,62,61,0,1
1323562,17/09/2022,1477,1477,62,62,0,1
1323562,18/09/2022,1477,1477,62,62,0,1
10503,15/09/2022,990,,64,,0,1
10503,16/09/2022,990,990,65,64,0,1
10503,17/09/2022,990,990,65,65,0,1
10503,18/09/2022,990,990,63,65,0,1
1328952,15/09/2022,2039,,67,,0,1
1328952,16/09/2022,2039,2039,66,67,0,1
1328952,17/09/2022,2039,2039,66,66,0,1
1328952,18/09/2022,2039,2039,66,66,0,1
1162179,15/09/2022,723,,22,,0,1
1162179,16/09/2022,767,723,24,22,0,1
1162179,17/09/2022,575,767,24,24,0,1
1162179,18/09/2022,575,575,23,24,0,1
6671067,15/09/2022,721,,31,,0,1
6671067,16/09/2022,823,721,32,31,0,1
6671067,17/09/2022,721,823,26,32,0,1
6671067,18/09/2022,721,721,24,26,0,1
10970,15/09/2022,759,,53,,0,1
10970,16/09/2022,759,759,56,53,0,1
10970,17/09/2022,569,759,55,56,0,1
10970,18/09/2022,569,569,55,55,0,1
10672,15/09/2022,639,,56,,0,1
10672,16/09/2022,179,639,59,56,0,1
10672,17/09/2022,479,179,59,59,0,1
10672,18/09/2022,479,479,57,59,0,1
1370749,15/09/2022,1134,,59,,0,1
1370749,16/09/2022,1204,1134,63,59,0,1
1370749,17/09/2022,1414,1204,64,63,0,1
1370749,18/09/2022,1134,1414,64,64,0,1
936397,15/09/2022,873,,60,,0,1
936397,16/09/2022,873,873,61,60,0,1
936397,17/09/2022,712,873,61,61,0,1
936397,18/09/2022,712,712,59,61,0,1
220222,15/09/2022,179,,79,,0,1
220222,16/09/2022,179,179,80,79,0,1
220222,17/09/2022,457,179,80,80,0,1
220222,18/09/2022,493,457,78,80,0,1
6282,15/09/2022,189,,106,,0,1
6282,16/09/2022,189,189,107,106,0,1
6282,17/09/2022,296,189,107,107,0,1
6282,18/09/2022,296,296,105,107,0,1
4317603,15/09/2022,949,,117,,0,1
4317603,16/09/2022,949,949,122,117,0,1
4317603,17/09/2022,899,949,125,122,0,1
4317603,18/09/2022,899,899,122,125,0,1
5951,15/09/2022,79,,155,,0,1
5951,16/09/2022,79,79,150,155,0,1
5951,17/09/2022,281,79,148,150,0,1
5951,18/09/2022,281,281,147,148,0,1
7286094,15/09/2022,1431,,219,,0,1
7286094,16/09/2022,1431,1431,200,219,0,1
7286094,17/09/2022,1335,1431,197,200,0,1
7286094,18/09/2022,1335,1335,184,197,0,1
6790017,15/09/2022,729,,251,,0,1
6790017,16/09/2022,729,729,233,251,0,1
6790017,17/09/2022,729,729,232,233,0,1
6790017,18/09/2022,729,729,228,232,0,1
906457,15/09/2022,1207,,297,,0,1
906457,16/09/2022,1207,1207,294,297,0,1
906457,17/09/2022,1207,1207,301,294,0,1
906457,18/09/2022,1207,1207,306,301,0,1
391197,15/09/2022,649,,309,,0,1
391197,16/09/2022,649,649,304,309,0,1
391197,17/09/2022,454,649,309,304,0,1
391197,18/09/2022,454,454,299,309,0,1
4749763,15/09/2022,757,,411,,0,1
4749763,16/09/2022,757,757,411,411,0,1
4749763,17/09/2022,670,757,427,411,0,1
4749763,18/09/2022,670,670,405,427,0,1
6790016,15/09/2022,699,,430,,0,1
6790016,16/09/2022,699,699,414,430,0,1
6790016,17/09/2022,699,699,402,414,0,1
6790016,18/09/2022,699,699,390,402,0,1
7286093,15/09/2022,911,,467,,0,1
7286093,16/09/2022,1028,911,427,467,0,1
7286093,17/09/2022,911,1028,405,427,0,1
7286093,18/09/2022,911,911,387,405,0,1
1504363,15/09/2022,1327,,516,,0,1
1504363,16/09/2022,1327,1327,525,516,0,1
1504363,17/09/2022,1327,1327,529,525,0,1
1504363,18/09/2022,1327,1327,526,529,0,1
4749761,15/09/2022,757,,703,,0,1
4749761,16/09/2022,757,757,692,703,0,1
4749761,17/09/2022,670,757,707,692,0,1
4749761,18/09/2022,670,670,699,707,0,1
4749762,15/09/2022,757,,942,,0,1
4749762,16/09/2022,757,757,931,942,0,1
4749762,17/09/2022,670,757,885,931,0,1
4749762,18/09/2022,670,670,852,885,0,1
1507007,15/09/2022,775,,756,,0,1
1507007,16/09/2022,910,775,727,756,0,1
1507007,17/09/2022,664,910,732,727,0,1
1507007,18/09/2022,664,664,722,732,0,1
1507005,15/09/2022,1056,,778,,0,1
1507005,16/09/2022,1240,1056,774,778,0,1
1507005,17/09/2022,905,1240,792,774,0,1
1507005,18/09/2022,905,905,800,792,0,1
730074,15/09/2022,182,,865,,0,1
730074,16/09/2022,198,182,855,865,0,1
730074,17/09/2022,145,198,843,855,0,1
730074,18/09/2022,145,145,838,843,0,1
39954,15/09/2022,570,,868,,0,1
39954,16/09/2022,670,570,864,868,0,1
39954,17/09/2022,670,670,877,864,0,1
39954,18/09/2022,509,670,866,877,0,1
1507009,15/09/2022,494,,876,,0,1
1507009,16/09/2022,580,494,876,876,0,1
1507009,17/09/2022,423,580,878,876,0,1
1507009,18/09/2022,423,423,853,878,0,1
598064,15/09/2022,267,,901,,0,1
598064,16/09/2022,314,267,896,901,0,1
598064,17/09/2022,232,314,891,896,0,1
598064,18/09/2022,232,232,891,891,0,1
159796,15/09/2022,413,,935,,0,1
159796,16/09/2022,477,413,917,935,0,1
159796,17/09/2022,348,477,925,917,0,1
159796,18/09/2022,348,348,922,925,0,1
1507006,15/09/2022,562,,945,,0,1
1507006,16/09/2022,660,562,973,945,0,1
1507006,17/09/2022,482,660,974,973,0,1
1507006,18/09/2022,482,482,954,974,0,1
1507008,15/09/2022,562,,947,,0,1
1507008,16/09/2022,660,562,938,947,0,1
1507008,17/09/2022,482,660,951,938,0,1
1507008,18/09/2022,482,482,950,951,0,1
730009,15/09/2022,150,,998,,0,1
730009,16/09/2022,158,150,990,998,0,1
730009,17/09/2022,126,158,989,990,0,1
730009,18/09/2022,126,126,991,989,0,1
598186,16/09/2022,169,,259,,0,1
598186,17/09/2022,169,169,274,259,0,1
598186,18/09/2022,128,169,273,274,0,1
357142,15/09/2022,529,,44,,0,1
357142,16/09/2022,79,529,47,44,0,1
357142,17/09/2022,79,79,46,47,0,1
357142,18/09/2022,329,79,45,46,0,1
516572,15/09/2022,356,,97,,0,1
516572,16/09/2022,89,356,98,97,0,1
516572,17/09/2022,89,89,98,98,0,1
516572,18/09/2022,329,89,96,98,0,1
357134,15/09/2022,356,,112,,0,1
357134,16/09/2022,155,356,111,112,0,1
357134,17/09/2022,155,155,112,111,0,1
357134,18/09/2022,438,155,110,112,0,1
386434,15/09/2022,356,,183,,0,1
386434,16/09/2022,155,356,180,183,0,1
386434,17/09/2022,155,155,182,180,0,1
386434,18/09/2022,338,155,182,182,0,1
464872,15/09/2022,356,,243,,0,1
464872,16/09/2022,450,356,234,243,0,1
464872,17/09/2022,450,450,240,234,0,1
464872,18/09/2022,329,450,241,240,0,1
952740,15/09/2022,281,,282,,0,1
952740,16/09/2022,330,281,280,282,0,1
952740,17/09/2022,330,330,285,280,0,1
952740,18/09/2022,251,330,285,285,0,1
464868,15/09/2022,356,,287,,0,1
464868,16/09/2022,79,356,282,287,0,1
464868,17/09/2022,79,79,290,282,0,1
464868,18/09/2022,342,79,296,290,0,1
1507000,15/09/2022,513,,333,,0,1
1507000,16/09/2022,593,513,333,333,0,1
1507000,17/09/2022,440,593,340,333,0,1
1507000,18/09/2022,440,440,343,340,0,1
952745,15/09/2022,281,,437,,0,1
952745,16/09/2022,330,281,434,437,0,1
952745,17/09/2022,330,330,444,434,0,1
952745,18/09/2022,251,330,445,444,0,1
739751,15/09/2022,386,,474,,0,1
739751,16/09/2022,449,386,470,474,0,1
739751,17/09/2022,334,449,482,470,0,1
739751,18/09/2022,334,334,482,482,0,1
598207,15/09/2022,152,,476,,0,1
598207,16/09/2022,169,152,469,476,0,1
598207,17/09/2022,169,169,471,469,0,1
598207,18/09/2022,144,169,471,471,0,1
60315,15/09/2022,158,,523,,0,1
60315,16/09/2022,175,158,517,523,0,1
60315,17/09/2022,175,175,525,517,0,1
60315,18/09/2022,149,175,524,525,0,1
1506989,15/09/2022,386,,541,,0,1
1506989,16/09/2022,449,386,533,541,0,1
1506989,17/09/2022,334,449,538,533,0,1
1506989,18/09/2022,334,334,532,538,0,1
952743,15/09/2022,281,,547,,0,1
952743,16/09/2022,330,281,538,547,0,1
952743,17/09/2022,330,330,540,538,0,1
952743,18/09/2022,251,330,527,540,0,1
1506996,15/09/2022,678,,557,,0,1
1506996,16/09/2022,793,678,551,557,0,1
1506996,17/09/2022,793,793,556,551,0,1
