ASIN,Sentiment Score
B08J3KFLBT,3.0
B08PZCS9J6,3.5625
B08SR4L6X2,2.4444444444444446
B08J3KFLBS,1.0
B08V8CD9BH,1.0
B08HZ5XQD3,1.0
B09KGXPHKF,4.285714285714286
B09KGW3NWL,4.2
B0992FHPYT,3.5
B09KGY7S81,4.333333333333333
B09KGYCR7Z,4.0
B0861BRS3B,2.738095238095238
B09T6NH99B,2.3636363636363638
B09T6NX8W2,2.3333333333333335
B08GY3PZQF,3.1717171717171717
B08DDTG2XX,2.533333333333333
B087795NDB,4.333333333333333
B08ZJHJ5DJ,2.0
B08QNZTQ96,2.5714285714285716
B09N9BKYN9,4.0
B07BNLKS7V,3.8333333333333335
B084CM7DT2,3.0
B07NXCK997,2.4545454545454546
B089L2FBDF,3.6666666666666665
B083G1NDTK,3.5
B0824138J4,2.8461538461538463
B07SVFX64L,5.0
B07NSRNF79,1.8333333333333333
B08DM383L2,1.0
B09C693228,1.0
B08KVSXSHK,1.0
B08SR372S7,3.764705882352941
B0861C4YCG,2.9295774647887325
B08779BJY1,1.0
B08ZJJZDMP,2.5
B082GCNKVN,5.0
B082G9RYZ9,1.6666666666666667
B08QP41KBP,3.4545454545454546
B08DKSRXD6,4.0
B08TCDKVVJ,3.0
B08KRZ69XY,4.0
B08337R52J,2.8181818181818183
B08WX2LSP4,2.5
B0886PBYHH,5.0
B083G1WGLF,3.0
B08SR52BSM,2.6666666666666665
B08SR5BPLK,3.5555555555555554
B08KTKH5K4,3.0
B09KGVKZXS,4.75
B082FJ9RS7,2.3684210526315788
B083G25P9L,3.5
B09R1QQPTQ,1.0
B08GXYZFNB,3.0
B08KTL8FDF,4.0
B099GLFH5T,3.6666666666666665
B084CMDS7B,2.3333333333333335
B095PT9K7Z,5.0
B07WGD8QQT,2.6857142857142855
B083G1VSS2,3.0
B08L5CRR6R,5.0
B09BR9NQ37,5.0
B08FMN5ZQM,2.5
B08PZBZD5M,3.5714285714285716
B08R8DGDSK,3.090909090909091
B08SR624PS,4.0
B084LGQKD7,3.25
B072FPNN8K,1.0
B082FJMJNN,3.1818181818181817
B08XMNBD3Q,3.5
B08CN7RZ6R,4.5
