ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
1488679,2022-09-21,1160.0,1184.0,829.0,821.0,0.0,1.0
1488679,2022-09-22,1027.0,1160.0,814.0,829.0,0.0,1.0
1488679,2022-09-23,1027.0,1027.0,811.0,814.0,0.0,1.0
5950,2022-09-15,728.0,,47.0,,0.0,1.0
5950,2022-09-16,728.0,728.0,50.0,47.0,0.0,1.0
5950,2022-09-17,728.0,728.0,49.0,50.0,0.0,1.0
5950,2022-09-18,728.0,728.0,49.0,49.0,0.0,1.0
5950,2022-09-20,728.0,728.0,51.0,49.0,0.0,1.0
5950,2022-09-21,728.0,728.0,53.0,51.0,0.0,1.0
5950,2022-09-22,582.0,728.0,50.0,53.0,0.0,1.0
5950,2022-09-23,582.0,582.0,49.0,50.0,0.0,1.0
10229,2022-09-15,276.0,,55.0,,0.0,1.0
10229,2022-09-16,276.0,276.0,57.0,55.0,0.0,1.0
10229,2022-09-17,276.0,276.0,58.0,57.0,0.0,1.0
10229,2022-09-18,276.0,276.0,58.0,58.0,0.0,1.0
10229,2022-09-20,276.0,276.0,58.0,58.0,0.0,1.0
10229,2022-09-21,276.0,276.0,63.0,58.0,0.0,1.0
10229,2022-09-22,239.0,276.0,63.0,63.0,0.0,1.0
10229,2022-09-23,239.0,239.0,62.0,63.0,0.0,1.0
5946,2022-09-15,749.0,,69.0,,0.0,1.0
5946,2022-09-16,749.0,749.0,70.0,69.0,0.0,1.0
5946,2022-09-17,749.0,749.0,7.0,70.0,0.0,1.0
5946,2022-09-18,637.0,749.0,7.0,7.0,0.0,1.0
5946,2022-09-20,749.0,637.0,6.0,7.0,0.0,1.0
5946,2022-09-21,749.0,749.0,6.0,6.0,0.0,1.0
5946,2022-09-22,599.0,749.0,7.0,6.0,0.0,1.0
5946,2022-09-23,599.0,599.0,66.0,7.0,0.0,1.0
453991,2022-09-15,563.0,,71.0,,0.0,1.0
453991,2022-09-16,563.0,563.0,72.0,71.0,0.0,1.0
453991,2022-09-17,563.0,563.0,73.0,72.0,0.0,1.0
453991,2022-09-18,563.0,563.0,71.0,73.0,0.0,1.0
453991,2022-09-20,563.0,563.0,71.0,71.0,0.0,1.0
453991,2022-09-21,563.0,563.0,74.0,71.0,0.0,1.0
453991,2022-09-22,497.0,563.0,71.0,74.0,0.0,1.0
5940,2022-09-15,637.0,,77.0,,0.0,1.0
5940,2022-09-16,637.0,637.0,78.0,77.0,0.0,1.0
5940,2022-09-17,637.0,637.0,79.0,78.0,0.0,1.0
5940,2022-09-18,637.0,637.0,77.0,79.0,0.0,1.0
5940,2022-09-20,637.0,637.0,77.0,77.0,0.0,1.0
5940,2022-09-21,698.0,637.0,79.0,77.0,0.0,1.0
5940,2022-09-22,558.0,698.0,79.0,79.0,0.0,1.0
5940,2022-09-23,558.0,558.0,74.0,79.0,0.0,1.0
540667,2022-09-15,605.0,,81.0,,0.0,1.0
540667,2022-09-16,605.0,605.0,83.0,81.0,0.0,1.0
540667,2022-09-17,605.0,605.0,84.0,83.0,0.0,1.0
540667,2022-09-18,605.0,605.0,83.0,84.0,0.0,1.0
540667,2022-09-20,605.0,605.0,85.0,83.0,0.0,1.0
540667,2022-09-21,605.0,605.0,88.0,85.0,0.0,1.0
540667,2022-09-22,486.0,605.0,88.0,88.0,0.0,1.0
4586546,2022-09-15,338.0,,83.0,,0.0,1.0
4586546,2022-09-16,338.0,338.0,84.0,83.0,0.0,1.0
4586546,2022-09-17,338.0,338.0,85.0,84.0,0.0,1.0
4586546,2022-09-18,338.0,338.0,82.0,85.0,0.0,1.0
4586546,2022-09-20,338.0,338.0,84.0,82.0,0.0,1.0
4586546,2022-09-21,338.0,338.0,86.0,84.0,0.0,1.0
4586546,2022-09-22,293.0,338.0,85.0,86.0,0.0,1.0
4586546,2022-09-23,293.0,293.0,82.0,85.0,0.0,1.0
5071339,2022-09-15,712.0,,141.0,,0.0,1.0
5071339,2022-09-16,712.0,712.0,142.0,141.0,0.0,1.0
5071339,2022-09-17,712.0,712.0,145.0,142.0,0.0,1.0
5071339,2022-09-18,712.0,712.0,142.0,145.0,0.0,1.0
5071339,2022-09-20,645.0,712.0,145.0,142.0,0.0,1.0
5071339,2022-09-21,645.0,645.0,148.0,145.0,0.0,1.0
