ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
14292,Dove Dandruff Care Shampoo,Dove,497.0,304.0,253,4.4,NA,NA,662.0,497.0,317.0,0.0,1.0,Shampoo,
24274,Dove Oxygen Moisture Shampoo,Dove,463.0,323.0,452,4.3,NA,NA,662.0,463.0,337.0,0.0,1.0,Shampoo,
2638478,Dove Hair Fall Rescue Shampoo,Dove,72.0,317.0,12,4.4,NA,NA,72.0,72.0,327.0,0.0,1.0,Shampoo,
1482406,Dove Daily Shine Shampoo + Conditioner,Dove,651.0,387.0,9,4.4,NA,NA,1050.0,651.0,397.0,0.0,1.0,,
5504819,L'Oreal Professionnel Metal Dx Shampoo & Hair Mask Combo Serie Expert,L'Oreal Professionnel,2340.0,75.0,22,4.5,NA,NA,2600.0,2340.0,78.0,0.0,1.0,Combos @ Nykaa,
3608269,"L'Oreal Professionnel Pro Longer Shampoo For Long Hair With Thinned Ends, Serie Expert",L'Oreal Professionnel,695.0,109.0,46,4.4,NA,NA,695.0,695.0,115.0,0.0,1.0,Shampoo,
1328947,L'Oreal Professionnel Mythic Oil Shampoo + Masque + Oil,L'Oreal Professionnel,2808.0,121.0,45,4.4,NA,NA,3120.0,2808.0,132.0,0.0,1.0,Combos @ Nykaa,
3798201,"L'Oreal Professionnel Anti-hair Loss Regime With Density Advanced Shampoo And Aminexil, Serie Expert",L'Oreal Professionnel,2381.0,132.0,17,4.3,NA,NA,2645.0,2381.0,137.0,0.0,1.0,,
72158,L'Oreal Professionnel Mythic Oil Shampoo & Masque,L'Oreal Professionnel,1919.0,154.0,26,3.9,NA,NA,2020.0,1919.0,162.0,0.0,1.0,Combos @ Nykaa,
6788978,L'Oreal Professionnel Pro Longer Lengths-Renewing Regime Shampoo + Ampuole,L'Oreal Professionnel,1958.0,565.0,1,4.4,NA,NA,2175.0,1958.0,602.0,0.0,1.0,,
5342883,L'Oreal Professionnel Metal Dx Anti-Metal Cleansing Cream Shampoo Serie Expert,L'Oreal Professionnel,1200.0,69.0,24,4.5,NA,NA,1200.0,1200.0,74.0,0.0,1.0,Shampoo,
18402,"L'Oreal Professionnel Absolut Repair Shampoo with Protein and Gold Quinoa, Serie Expert",L'Oreal Professionnel,695.0,1.0,1720,4.4,NA,NA,695.0,695.0,1.0,0.0,1.0,Shampoo,
10500,LOreal Professionnel X-Tenso Care Pro-Keratine + Incell Shampoo,L'Oreal Professionnel,610.0,10.0,1883,4.3,NA,NA,610.0,610.0,10.0,0.0,1.0,Shampoo,
874067,L'Oreal Professionnel X-Tenso Care Shampoo Sulfate Free,L'Oreal Professionnel,950.0,12.0,388,4.3,NA,NA,950.0,950.0,12.0,0.0,1.0,Shampoo,
72139,"L'Oreal Professionnel Absolut Repair Shampoo 300ml & Hair Mask 250gm Combo, Serie Expert",L'Oreal Professionnel,1477.0,14.0,115,4.6,NA,NA,1555.0,1477.0,14.0,0.0,1.0,Combos @ Nykaa,
1323563,L'Oreal Professionnel X-Tenso Care Sulfate free Shampoo & Masque,L'Oreal Professionnel,1914.0,15.0,46,4.3,NA,NA,2015.0,1914.0,15.0,0.0,1.0,Combos @ Nykaa,
1328949,L'Oreal Professionnel X-Tenso Shampoo + Masque + Serum,L'Oreal Professionnel,1862.0,17.0,72,4.4,NA,NA,1960.0,1862.0,17.0,0.0,1.0,Combos @ Nykaa,
10506,LOreal Professionnel Series Expert Resveratrol Vitamino Color Shampoo,L'Oreal Professionnel,695.0,18.0,591,4.4,NA,NA,695.0,695.0,18.0,0.0,1.0,Shampoo,
72164,L'Oreal Professionnel X-Tenso Care Pro-Keratine Shampoo & Masque,L'Oreal Professionnel,1264.0,19.0,49,4.4,NA,NA,1330.0,1264.0,19.0,0.0,1.0,Combos @ Nykaa,
10495,L'Oreal Professionnel Expert Density Advanced Shampoo,L'Oreal Professionnel,695.0,23.0,586,4.2,NA,NA,695.0,695.0,23.0,0.0,1.0,Shampoo,
10499,"L'Oreal Professionnel Liss Unlimited Shampoo with Pro-Keratin and Kukui Nut Oil, Serie Expert",L'Oreal Professionnel,695.0,25.0,890,4.1,NA,NA,695.0,695.0,24.0,0.0,1.0,Shampoo,
1328938,"L'Oreal Professionnel Absolut Repair Shampoo 300ml, Hair Mask 250gm & Hair Serum 90ml, Serie Expert",L'Oreal Professionnel,2480.0,26.0,86,4.4,NA,NA,2755.0,2480.0,27.0,0.0,1.0,Combos @ Nykaa,
72162,"L'Oreal Professionnel Vitamino Color Shampoo 300ml & Hair Mask 250gm, Serie Expert",L'Oreal Professionnel,1477.0,29.0,42,4.5,NA,NA,1555.0,1477.0,29.0,0.0,1.0,Combos @ Nykaa,
