ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",underarms,0.021330666,0.600000024,0.600000024,
B07RNRQMJQ,Apoorva,5.0 out of 5 stars,Great scent and Value for money!,17/03/2020 00:00,India 🇮🇳,,"I really liked Ariel UltraMatic Detergent be it the scent, the freshness. The first wash was really nice as the clothes had an long lasting fresh scent. The clothes came out clean from my top load fully automatic machine.",load,0.013767587,0.800000012,0.800000012,
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",spots,0.021330666,0.400000006,0.400000006,Quality
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",cuffs,0.021330666,0.5,0.5,
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",crispness,0.02307017,0.300000012,0.300000012,Quality
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",kids,0.023354169,0.400000006,0.400000006,
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",colour,0.027577462,0.400000006,0.400000006,Colour
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",tops,0.028749049,0.400000006,0.400000006,
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",clothes,0.029219424,0.100000001,0.100000001,
B07RNRQMJQ,Roop,5.0 out of 5 stars,"With Tide, it’s a new life !",15/03/2020 00:00,India 🇮🇳,,"Stumbled upon this range from Tide recently and I am truly satisfied. When it comes to whites, I have always been very particular about the cleanliness and crispness of clothes- be it my tops or kids uniform. Tide ultra not only retains the colour by beating stains at difficult spots like cuffs and underarms but also gives a fresh crispy texture to the clothes. It’s like , my clothes get a new life everytime I wash with Tide ultra. Price vise also it’s a great buy!",whites,0.0341065,0,0,Quality
