ASIN,Date,Lowest Selling Price,Highest Selling Price,Last Known Lowest Selling Price,Last Known Highest Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B099JB8KMQ,2023-02-01,3636.0,3636.0,3636.0,3636.0,121662.0,121609.0,0.0,1.0
B09VS6SJB2,2023-01-31,,,1171.0,1238.0,8434.0,,0.0,1.0
B09VS6SJB2,2023-02-01,1171.0,1238.0,1171.0,1238.0,9713.0,8434.0,0.0,1.0
B09S3NHBLJ,2023-01-31,3999.0,3999.0,3999.0,3999.0,6220.0,,0.0,1.0
B09S3NHBLJ,2023-02-01,3999.0,3999.0,3999.0,3999.0,7572.0,6220.0,0.0,1.0
B09S3PLKX7,2023-01-31,,,2485.0,2750.69,11765.0,,0.0,1.0
B09S3PLKX7,2023-02-01,2485.0,2751.0,2485.0,2750.69,12910.0,11765.0,0.0,1.0
B09S3N8XBK,2023-01-31,,,1545.0,1682.0,11576.0,,0.0,1.0
B09S3N8XBK,2023-02-01,1545.0,1682.0,1545.0,1682.0,12401.0,11576.0,0.0,1.0
B09VSDKN9B,2023-01-31,,,2573.0,2722.0,8001.0,,0.0,1.0
B09VSDKN9B,2023-02-01,2573.0,2722.0,2573.0,2722.0,9352.0,8001.0,0.0,1.0
B09VRQNZ5W,2023-01-31,,,3116.0,3227.0,93792.0,,0.0,1.0
B09VRQNZ5W,2023-02-01,3116.0,3227.0,3116.0,3227.0,94428.0,93792.0,0.0,1.0
B09SY35CJ3,2023-01-31,,,1225.0,1574.0,4690.0,,0.0,1.0
B09SY35CJ3,2023-02-01,1225.0,1574.0,1225.0,1574.0,5884.0,4690.0,0.0,1.0
B09VYF8VJK,2023-01-31,,,2334.0,2458.0,16211.0,,0.0,1.0
B09VYF8VJK,2023-02-01,2334.0,2458.0,2334.0,2458.0,16772.0,16211.0,0.0,1.0
B09VRWLG9F,2023-01-31,,,5403.0,5702.0,,,0.0,1.0
B09VRWLG9F,2023-02-01,5403.0,5702.0,5403.0,5702.0,,,0.0,1.0
B09VS3VW56,2023-01-31,,,2585.0,2724.0,27082.0,,0.0,1.0
B09VS3VW56,2023-02-01,2585.0,2724.0,2585.0,2724.0,27824.0,27082.0,0.0,1.0
B09VRMY2SJ,2023-01-31,,,2418.0,2578.0,14259.0,,0.0,1.0
B09VRMY2SJ,2023-02-01,2418.0,2578.0,2418.0,2578.0,15422.0,14259.0,0.0,1.0
B09VRN8LBR,2023-01-31,,,2334.0,2485.0,16211.0,,0.0,1.0
B09VRN8LBR,2023-02-01,2334.0,2485.0,2334.0,2485.0,16772.0,16211.0,0.0,1.0
B09SY2QMH4,2023-01-31,,,1633.0,1749.0,,,0.0,1.0
B09SY2QMH4,2023-02-01,1544.0,1749.0,1633.0,1749.0,,,0.0,1.0
B09VYD9SHG,2023-01-31,,,1725.0,1768.0,17540.0,,0.0,1.0
B09VYD9SHG,2023-02-01,1725.0,1768.0,1725.0,1768.0,17866.0,17540.0,0.0,1.0
B09SY3ZJ5W,2023-01-31,,,1379.0,1644.0,27430.0,,0.0,1.0
B09SY3ZJ5W,2023-02-01,1379.0,1644.0,1379.0,1644.0,28184.0,27430.0,0.0,1.0
B09S3N42GT,2023-01-31,,,2082.0,2359.0,12354.0,,0.0,1.0
B09S3N42GT,2023-02-01,2082.0,2359.0,2082.0,2359.0,3296.0,12354.0,0.0,1.0
B09TPKMS7H,2023-01-31,,,1225.0,1406.0,4690.0,,0.0,1.0
