ASIN,Title,Brand,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Lowest Original Price,Highest Original Price,Latest Lowest Selling Price,Latest Hightest Selling Price,Last Day Lowest Selling Price,Last Day Highest Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B09VSDKN9B,Fabindia mens Kurta,Fabindia,9930,,,NA,NA,2573,2722,2573,2722,2573,2722,8773,0,NA,1,Kurtas,
B09VRQNZ5W,Fabindia womens Kurta,Fabindia,94773,,,NA,NA,3116,3227,3116,3227,3116,3227,94083,0,NA,1,Kurtas & Kurtis,
B09SY35CJ3,Fabindia Women Kurta,Fabindia,6415,3,2.5,NA,NA,1225,1574,1225,1574,1225,1574,5354,0,NA,1,Kurtas & Kurtis,
B09VYF8VJK,Fabindia womens Kurta,Fabindia,17023,,,NA,NA,2334,2458,2334,2458,2334,2458,16522,0,NA,1,Kurtas & Kurtis,
B09VRWLG9F,Fabindia womens Kurta Set,Fabindia,,,,NA,NA,5403,5702,5403,5702,5403,5702,,0,NA,1,Kurtas & Kurtis,
B09VS3VW56,Fabindia womens Kurta,Fabindia,28193,,,NA,NA,2585,2724,2585,2724,2585,2724,27455,0,NA,1,Kurtas & Kurtis,
B09VRMY2SJ,Fabindia mens Kurta,Fabindia,15891,,,NA,NA,2418,2578,2418,2578,2418,2578,14952,0,NA,1,Kurtas,
B09VRN8LBR,Fabindia womens Kurta,Fabindia,17023,,,NA,NA,2334,2485,2334,2485,2334,2485,16522,0,NA,1,Kurtas & Kurtis,
B09SY2QMH4,Fabindia Women Kurta,Fabindia,,2,3,NA,NA,1456,1749,1456,1749,1633,1749,,0,NA,1,Kurtas & Kurtis,
B09VYD9SHG,Fabindia Men Kurta,Fabindia,17963,,,NA,NA,1725,1768,1725,1768,1725,1768,17770,0,NA,1,Kurtas,
B09SY3ZJ5W,Fabindia Women Tunic,Fabindia,28531,,,NA,NA,1379,1644,1379,1644,1379,1644,27838,0,NA,1,Tops,
B09S3N42GT,Fabindia Women Kurta,Fabindia,4170,2,4.5,NA,NA,2082,2359,2082,2359,2082,2359,2421,0,NA,1,Kurtas & Kurtis,
B09TPKMS7H,Fabindia Women Kurta,Fabindia,6415,3,2.5,NA,NA,1225,1406,1225,1406,1225,1406,5354,0,NA,1,Kurtas & Kurtis,
B09TPP6CHD,Fabindia Women Kurta,Fabindia,4664,,,NA,NA,2551,3051,2551,3051,2551,2699,2674,0,NA,1,Kurtas & Kurtis,
B09VS7MP34,Fabindia womens Kurta,Fabindia,71877,1,1,NA,NA,2073,2185,2073,2185,2073,2185,71812,0,NA,1,Kurtas & Kurtis,
B09VSGLN8W,Fabindia womens Kurta,Fabindia,5633,,,NA,NA,1355,1429,1355,1429,1355,1429,4140,0,NA,1,Kurtas & Kurtis,
B09SVCCDBZ,Fabindia Women Kurta,Fabindia,17108,,,NA,NA,2193,2313,2193,2313,2193,2313,16154,0,NA,1,Kurtas & Kurtis,
B09VRRK6FS,Fabindia womens Kurta,Fabindia,7898,,,NA,NA,2592,2593,2592,2593,2592,2593,6743,0,NA,1,Kurtas & Kurtis,
B09S3P5PMM,Fabindia Women Kurta,Fabindia,11162,1,5,NA,NA,2717,2717,2717,2717,2717,2717,10124,0,NA,1,Kurtas & Kurtis,
B09SFYNW93,Fabindia Men Kurta,Fabindia,,,,NA,NA,2529,2924,2529,2924,2529,2924,,0,NA,1,Kurtas,
B09TPKLT69,Fabindia Women Kurta Set,Fabindia,3832,,,NA,NA,2951,3744,2951,3744,2951,3744,17408,0,NA,1,Kurtas & Kurtis,
B09SY2KFCH,Fabindia Women Kurta,Fabindia,34884,,,NA,NA,2561,3346,2561,3346,2561,3346,34531,0,NA,1,Kurtas & Kurtis,
B09VS5Y868,Fabindia womens Kurta,Fabindia,17250,,,NA,NA,3626,3885,3626,3885,3626,3885,16094,0,NA,1,Kurtas & Kurtis,
B09VRSTVRF,Fabindia womens Kurta,Fabindia,14729,,,NA,NA,2524,2897,2524,2897,2524,2897,13820,0,NA,1,Kurtas & Kurtis,
B09VS262LC,Fabindia Women Kurta,Fabindia,15318,,,NA,NA,1886,1987,1886,1987,1886,1987,14261,0,NA,1,Kurtas & Kurtis,
B09VRWHXWT,Fabindia womens Kurta,Fabindia,27885,,,NA,NA,1642,1730,1642,1730,1729,1730,27165,0,NA,1,Kurtas & Kurtis,
B09VRR6FRR,Fabindia womens Kurta,Fabindia,11105,,,NA,NA,2983,3143,2983,3143,2983,3143,10049,0,NA,1,Kurtas & Kurtis,
B09VRRFP9W,Fabindia womens Kurta Set,Fabindia,,,,NA,NA,5741,6624,5741,6624,5741,6624,,0,NA,1,Kurtas & Kurtis,
B09VS7FTM4,Fabindia womens Kurta,Fabindia,11364,,,NA,NA,1715,1715,1715,1715,1715,1715,10431,0,Fulfilled,1,Kurtas & Kurtis,
B09VRWLGKY,Fabindia womens Kurta,Fabindia,1925,,,NA,NA,4590,4590,4590,4590,3512,4590,14929,0,NA,1,Kurtas & Kurtis,
B09VRZ4CT7,Fabindia Women Tunic,Fabindia,10478,1,3,NA,NA,1428,1482,1428,1482,1428,1482,9430,0,NA,1,Tops,
B09SY31Z22,Fabindia Women Salwar,Fabindia,23572,1,4,NA,NA,1001,1089,1001,1089,1001,1089,22984,0,NA,1,Bottom Wear,
B09SY2TP29,Fabindia Women Kurta,Fabindia,27589,,,NA,NA,3888,4942,3888,4942,3888,4942,26704,0,NA,1,Kurtas & Kurtis,
B09S3MVNCY,Fabindia Women Kurta,Fabindia,3787,1,5,NA,NA,1362,1605,1362,1605,1362,1605,2076,0,NA,1,Kurtas & Kurtis,
B09VRWBKFS,Fabindia womens Kurta,Fabindia,35861,,,NA,NA,2066,2067,2066,2067,2066,2067,35254,0,NA,1,Kurtas & Kurtis,
B09VRYQY18,Fabindia womens Kurta Set,Fabindia,19525,1,1,NA,NA,2835,2992,2835,2992,2835,2992,18947,0,NA,1,Kurtas & Kurtis,
B09VRPYHD1,Fabindia Men Kurta,Fabindia,37180,,,NA,NA,1987,2094,1987,2094,1987,2094,36559,0,NA,1,Kurtas,
B09SY39BSN,Fabindia Women Kurta,Fabindia,12246,,,NA,NA,1225,1295,1225,1295,1225,1295,11092,0,NA,1,Kurtas & Kurtis,
B09VRT9J88,Fabindia womens Kurta,Fabindia,37921,,,NA,NA,2231,2261,2231,2261,2231,2261,37331,0,NA,1,Kurtas & Kurtis,
B09VRVSWL6,Fabindia womens Kurta,Fabindia,8126,4,3.1,NA,NA,1356,1484,1356,1484,1356,1484,6982,0,NA,1,Kurtas & Kurtis,
B09VS6S3WD,Fabindia womens Kurta,Fabindia,19598,1,1,NA,NA,2517,2522,2517,2522,2517,3290,19270,0,NA,1,Kurtas & Kurtis,
B09TPN98WB,Fabindia Women Kurta,Fabindia,13646,,,NA,NA,1757,1848,1757,1848,1757,1848,12817,0,NA,1,Kurtas & Kurtis,
B09TPM7Z1K,Fabindia Women Kurta,Fabindia,4664,,,NA,NA,2551,3051,2551,3051,2551,2699,2674,0,NA,1,Kurtas & Kurtis,
B099JHT3JZ,Fabindia Women's Regular Dress Shirt,Fabindia,2401,2,3,NA,NA,541,541,541,541,541,541,3170,0,NA,1,Dresses,
B09S3PGKY7,Fabindia Women Kurta,Fabindia,2070,,,NA,NA,2488,2497,2488,2497,2488,2497,15221,0,NA,1,Kurtas & Kurtis,
B09VRY5SMX,Fabindia womens Kurta Set,Fabindia,6931,,,NA,NA,6237,6851,6237,6851,6237,6851,6907,0,NA,1,Kurtas & Kurtis,
B09VYDPQRD,Fabindia womens Kurta,Fabindia,17023,,,NA,NA,2334,2458,2334,2458,2334,2458,16522,0,NA,1,Kurtas & Kurtis,
B09S3BQ2PB,Fabindia Women Tunic Shirt,Fabindia,15608,,,NA,NA,1308,1455,1308,1455,1289,1443,14832,0,NA,1,Kurtas & Kurtis,
B09VS4KSJW,Fabindia womens Kurta,Fabindia,30633,1,5,NA,NA,1261,1333,1261,1333,1261,1333,30141,0,NA,1,Kurtas & Kurtis,
B09VRXCVWT,Fabindia Men Kurta,Fabindia,9684,1,4,NA,NA,1355,1468,1355,1468,1355,1468,8539,0,NA,1,Kurtas,
B09VRSQKDX,Fabindia Men Kurta,Fabindia,71674,,,NA,NA,826.85,1039,826.85,1039,826.85,1039,71622,0,NA,1,Kurtas,
B0BFX92341,Fabindia Men Kurta,Fabindia,,,,NA,NA,2699,2699,2369,2369,2369,2369,,0,Fulfilled,1,Kurtas,
B09S3QDRK2,Fabindia Women Kurta,Fabindia,55654,,,NA,NA,1968,2360,1968,2360,1968,2360,55337,0,NA,1,Kurtas & Kurtis,
B09VS143WN,Fabindia womens Kurta,Fabindia,7757,,,NA,NA,2584,2733,2584,2733,2592,2593,6743,0,NA,1,Kurtas & Kurtis,
B09VS8MPVK,Fabindia mens Kurta,Fabindia,30277,,,NA,NA,1266,1369,1266,1369,1266,1369,29796,0,NA,1,Kurtas,
B09VS9J582,Fabindia womens Kurta,Fabindia,15631,,,NA,NA,2677,2898,2677,2898,2677,2898,14841,0,NA,1,Kurtas & Kurtis,
B09VS3VWLQ,Fabindia womens Kurta Set,Fabindia,19525,1,1,NA,NA,2835,2992,2835,2992,2835,2992,18947,0,NA,1,Kurtas & Kurtis,
B09VS35LRJ,Fabindia womens Kurta,Fabindia,8106,,,NA,NA,3822,3834,3822,3834,3822,3834,6732,0,NA,1,Kurtas & Kurtis,
B09S3NH2XS,Fabindia Women Kurta,Fabindia,4170,2,4.5,NA,NA,1972,2545,1972,2545,1972,2545,2421,0,NA,1,Kurtas & Kurtis,
B09VY9GK6T,Fabindia womens Kurta,Fabindia,7898,,,NA,NA,2593,2593,2593,2593,2593,2593,6743,0,NA,1,Kurtas & Kurtis,
B09VS1N4W1,Fabindia womens Kurta,Fabindia,27165,,,NA,NA,1729,1730,1729,1730,1729,1730,26917,0,NA,1,Kurtas & Kurtis,
B09TPNXTFP,Fabindia Women Kurta,Fabindia,15900,,,NA,NA,3936,4087,3936,4087,3936,4087,15032,0,NA,1,Kurtas & Kurtis,
B09S3MVYG4,Fabindia Women Kurta,Fabindia,40925,,,NA,NA,2572,2730,2572,2730,2572,2730,40272,0,NA,1,Kurtas & Kurtis,
B09VRTDCF2,Fabindia Women Kurta,Fabindia,14793,1,2,NA,NA,3512,3514,3512,3514,3512,3514,13856,0,NA,1,Kurtas & Kurtis,
B09VRY21BN,Fabindia womens Kurta,Fabindia,12591,,,NA,NA,5018,5286,5018,5286,5018,5286,11638,0,NA,1,Kurtas & Kurtis,
B09VRTH51K,Fabindia womens Kurta,Fabindia,52322,,,NA,NA,3060,3224,3060,3224,3060,3224,52059,0,NA,1,Kurtas & Kurtis,
B09TPKC78Q,Fabindia Women Kurta Set,Fabindia,3832,,,NA,NA,2951,3744,2951,3744,2951,3744,17408,0,NA,1,Kurtas & Kurtis,
B09VS4G8X8,Fabindia womens Kurta,Fabindia,36166,,,NA,NA,2152,2152,2152,2152,2152,2152,35491,0,Fulfilled,1,Kurtas & Kurtis,
B09GPBL93S,Fabindia Men Kurta,Fabindia,,,,NA,NA,3977,3977,3977,3977,3977,3977,,0,NA,1,Kurtas & Kurtis,
B09VRX9XZH,Fabindia womens Kurta,Fabindia,111151,,,NA,NA,2815,2815,2815,2815,2815,2815,110950,0,Fulfilled,1,Kurtas & Kurtis,
B0BM6PV95M,Fabindia Natural Viscose Silk Slim Fit 2pc Set,Fabindia,43071,1,5,NA,NA,8999,8999,8999,8999,7869,7869,42318,0,Fulfilled,1,Kurtas & Kurtis,
