ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09C6LMC85,Honeybee,2.0 out of 5 stars,Salwar/pant quality not good,29/03/2022 00:00,India 🇮🇳,,"The kameez/top is very good. Soft cotton and comfortable. But pant/chudi bottom is of very cheap quality. Very transparent, tight and uncomfortable. If you sit down in hurry it might even tear.",pant,0.080959104,-0.200000003,0.200000003,
B09C6LMC85,Honeybee,2.0 out of 5 stars,Salwar/pant quality not good,29/03/2022 00:00,India 🇮🇳,,"The kameez/top is very good. Soft cotton and comfortable. But pant/chudi bottom is of very cheap quality. Very transparent, tight and uncomfortable. If you sit down in hurry it might even tear.",quality,0.075359225,0,0,Quality
B09C6LMC85,Harsha Temkar ok ,1.0 out of 5 stars,Product received without dupatta,16/07/2022 00:00,India 🇮🇳,,I want to return this dress as I have received it without dupatta & also wrong size I.e I have ordered 38 size & received 42 size,dress,0.452221572,-0.600000024,1.200000048,
B09C6LMC85,Honeybee,2.0 out of 5 stars,Salwar/pant quality not good,29/03/2022 00:00,India 🇮🇳,,"The kameez/top is very good. Soft cotton and comfortable. But pant/chudi bottom is of very cheap quality. Very transparent, tight and uncomfortable. If you sit down in hurry it might even tear.",kameez/top,0.626899302,0.899999976,0.899999976,Pattern
B09C6LMC85,Harsha Temkar ok ,1.0 out of 5 stars,Product received without dupatta,16/07/2022 00:00,India 🇮🇳,,I want to return this dress as I have received it without dupatta & also wrong size I.e I have ordered 38 size & received 42 size,size,0.090099193,-0.5,0.5,Size
B09C6LMC85,Honeybee,2.0 out of 5 stars,Salwar/pant quality not good,29/03/2022 00:00,India 🇮🇳,,"The kameez/top is very good. Soft cotton and comfortable. But pant/chudi bottom is of very cheap quality. Very transparent, tight and uncomfortable. If you sit down in hurry it might even tear.",cotton,0.118853346,0.800000012,0.800000012,Material
B09C6LMC85,Harsha Temkar ok ,1.0 out of 5 stars,Product received without dupatta,16/07/2022 00:00,India 🇮🇳,,I want to return this dress as I have received it without dupatta & also wrong size I.e I have ordered 38 size & received 42 size,size,0.115637347,-0.600000024,0.600000024,Size
B09C6LMC85,Harsha Temkar ok ,1.0 out of 5 stars,Product received without dupatta,16/07/2022 00:00,India 🇮🇳,,I want to return this dress as I have received it without dupatta & also wrong size I.e I have ordered 38 size & received 42 size,I.e,0.208863929,-0.5,1.100000024,
B09BD297JB,Mukta,5.0 out of 5 stars,"Just beautiful dress, thank you Amazon",21/03/2022 00:00,India,,"Just beautiful dress for summer, go for it,only available on Amazon at this price,  thank you Amazon",dress,0.67416209,0.800000012,0.800000012,
B09BD297JB,Mukta,5.0 out of 5 stars,"Just beautiful dress, thank you Amazon",21/03/2022 00:00,India,,"Just beautiful dress for summer, go for it,only available on Amazon at this price,  thank you Amazon",Amazon,0.173985556,0.699999988,1.399999976,
