ASIN,Sentiment Score
B08HZCFNX1,3.8
B071DQ34X8,3.217391304347826
B08BYJLB4Z,3.0
B077TRB2FT,2.0
B099QLH53H,3.0
B08HZF4SFT,1.5
B08WPJSXTF,2.2
B01L56DSKG,2.933333333333333
B08HZDLGF3,2.4285714285714284
B08HZB57RX,2.4285714285714284
B071DQ3TS5,3.217391304347826
B016W0ZPVU,1.0
B075F9Z6XB,3.3076923076923075
B016VYAWA6,3.75
B08J4N441J,2.9166666666666665
B09M72TK2J,1.95
B016VYB624,3.75
B09T37S9Y5,3.0
B0862GS4T8,2.482142857142857
B07XD8G2HR,3.18348623853211
B00MGF4YTU,3.6296296296296298
B09DGNTS7G,3.32
B0191QS9MO,3.6666666666666665
B09JZ1MSF6,3.0
B016W10CNU,3.5555555555555554
B07X922QQV,3.1333333333333333
B097MZ9SV3,3.0384615384615383
B016IGHO8K,4.0
B01N148DEG,2.8620689655172415
B07XQ3MQC7,3.119565217391304
B01DNPUHA6,2.0
B07P42GBR8,3.0
B01DNPUHFQ,3.0
B01DNPU8SM,4.0
B07WHBT1BQ,1.3333333333333333
B01N9MLU9D,3.0
B08FGMYVSC,3.6451612903225805
B01DNPU8QE,2.0
B07ND7ZLVN,3.5
B07X7JYPJS,3.5
B08BJQSPQM,2.6153846153846154
B07PG9Q4T7,2.064516129032258
B08BKX2XMY,3.3333333333333335
B00W94GE8M,1.2
B01DNPUHEW,2.5
B08BKWMMBP,3.473684210526316
B08BKWMBBJ,2.25
B0774LDZ2V,2.9166666666666665
B00YU1E4UC,1.25
B08B3Z29S6,3.5
B075QGGR71,1.0
B09B435VNR,3.5
B073ZTMN3N,4.0
B08FY9WCP9,2.4285714285714284
B08H6BJF8Y,2.0
B00IN23UIQ,1.0
B0866H7PGS,2.3333333333333335
B0948V9GBM,1.0
B0866HY6B3,1.6666666666666667
B093DX6DR9,2.6666666666666665
B015ZJY3V2,4.0
B07P7H51FR,1.0
B0933G4TWG,4.0
B08TWT2DQ3,2.6666666666666665
B07SGCDWL5,2.9047619047619047
B08563PR4F,3.0
B01DNPUH5Q,3.0
B08D4C2MR8,1.0
B06XV5NXHW,1.0
B09RVYZM3W,2.5
B00UHF3XDO,2.5
B00W94GPTU,2.3333333333333335
B014IRNDEK,2.9166666666666665
B08YRM5B41,2.3333333333333335
B07X5M1MNF,2.2777777777777777
B0948TZLJR,1.0
B07NF53CDD,2.0
