ASIN,Category,Latest BSR,Last Day BSR
B01DNPUHFQ,LED Bulbs,146.0,95.0
B08BJQSPQM,Home & Kitchen,2499.0,1780.0
B08BJQSPQM,Emergency Lights,15.0,13.0
B01DNPU8SM,Home & Kitchen,10698.0,10063.0
B01DNPU8SM,LED Bulbs,173.0,164.0
B07ND7ZLVN,Home & Kitchen,14849.0,13963.0
B07ND7ZLVN,LED Bulbs,236.0,216.0
B01DNPU8QE,Home & Kitchen,6152.0,4692.0
B01DNPU8QE,LED Bulbs,96.0,79.0
B07WHBT1BQ,Home & Kitchen,13190.0,7958.0
B07WHBT1BQ,Smart Light Bulbs,9.0,9.0
B07WHBT1BQ,LED Bulbs,209.0,129.0
B01N9MLU9D,Home & Kitchen,8658.0,5530.0
B01N9MLU9D,LED Bulbs,143.0,91.0
B08FGMYVSC,Home & Kitchen,2540.0,2986.0
B08FGMYVSC,Emergency Lights,16.0,19.0
B07PG9Q4T7,Home & Kitchen,567.0,829.0
B07PG9Q4T7,Emergency Lights,4.0,4.0
B07X7JYPJS,Home & Kitchen,38882.0,24976.0
B07X7JYPJS,Table Lamps,104.0,64.0
B08BKX2XMY,Home & Kitchen,5382.0,2812.0
B08BKX2XMY,Table Lamps,13.0,7.0
B07X5M1MNF,Home & Kitchen,2992.0,2499.0
B07X5M1MNF,Emergency Lights,19.0,16.0
B00W94GPTU,Home & Kitchen,282.0,325.0
B00W94GPTU,LED Bulbs,8.0,6.0
B01DNPUHEW,Home & Kitchen,406.0,352.0
B01DNPUHEW,LED Bulbs,11.0,8.0
B00W94GE8M,Home & Kitchen,48163.0,27522.0
B00W94GE8M,LED Bulbs,639.0,397.0
B00W94GE8M,Home & Décor,8837.0,4677.0
B08HXLS1QH,Home & Kitchen,26454.0,14945.0
B08HXLS1QH,LED Bulbs,385.0,230.0
B08BKWMMBP,Home & Kitchen,477.0,685.0
B08BKWMMBP,Table Lamps,1.0,3.0
B01DNPUH5Q,Home & Kitchen,9159.0,15715.0
B01DNPUH5Q,LED Bulbs,150.0,243.0
B0774LDZ2V,Home & Kitchen,101.0,99.0
B0774LDZ2V,LED Bulbs,1.0,1.0
B00YU1E4UC,Home & Kitchen,10270.0,11866.0
B00YU1E4UC,LED Bulbs,166.0,192.0
B08BKWMBBJ,Home & Kitchen,1016.0,784.0
B08BKWMBBJ,Smart Light Bulbs,3.0,3.0
B07HTH9BFD,Home & Kitchen,187871.0,153694.0
B07HTH9BFD,LED Bulbs,2401.0,2009.0
B08B3Z29S6,Home & Kitchen,13547.0,46385.0
B08B3Z29S6,LED Bulbs,218.0,625.0
B075QGFP8M,Home & Kitchen,196733.0,191678.0
B075QGFP8M,LED Bulbs,2516.0,2445.0
B01ISPCY2K,Home & Kitchen,158575.0,128909.0
B01ISPCY2K,LED Bulbs,2009.0,1671.0
B075QFJ83H,Home & Kitchen,268230.0,265524.0
B075QFJ83H,LED Bulbs,3310.0,3302.0
B075QGGR71,Home & Kitchen,40396.0,41809.0
B075QGGR71,LED Bulbs,555.0,578.0
B07B6VR6LR,Home & Kitchen,139488.0,134536.0
B07B6VR6LR,LED Bulbs,1794.0,1737.0
