ASIN,Category,Latest BSR,Last Day BSR
B08QWZ4VG7,"Water Coolers, Filters & Cartridges",1754.0,1550.0
B01N3A5M4Z,Home & Kitchen,556994.0,544495.0
B01N3A5M4Z,Water Purifier Accessories,4228.0,4146.0
B079JNVK5K,Home & Kitchen,2164232.0,2163893.0
B079JNVK5K,"Water Coolers, Filters & Cartridges",4002.0,4004.0
B08QWZHB4Y,Home & Kitchen,1441539.0,1436971.0
B08QWZHB4Y,"Water Coolers, Filters & Cartridges",3011.0,3005.0
B07F8QB59R,Home & Kitchen,169020.0,155841.0
B07F8QB59R,Water Purifier Accessories,1544.0,1422.0
B08FC2DJMK,Home & Kitchen,225874.0,193390.0
B08FC2DJMK,Water Purifier Accessories,1834.0,1587.0
B09NMD8CXM,Home & Kitchen,1748999.0,1747208.0
B09NMD8CXM,"Water Coolers, Filters & Cartridges",3540.0,3538.0
B010T08UPW,Home & Kitchen,1590219.0,1586606.0
B010T08UPW,"Water Coolers, Filters & Cartridges",3287.0,3266.0
B09P52LWVZ,Home & Kitchen,23698.0,42633.0
B09P52LWVZ,Water Purifier Accessories,198.0,372.0
B0095SD3BQ,Home & Kitchen,35679.0,38733.0
B0095SD3BQ,"Water Coolers, Filters & Cartridges",133.0,146.0
B08QWY3FBG,Home & Kitchen,976685.0,976389.0
B08QWY3FBG,"Water Coolers, Filters & Cartridges",2243.0,2251.0
B017SLHZUG,Home & Kitchen,237901.0,238400.0
B017SLHZUG,"Water Coolers, Filters & Cartridges",675.0,674.0
B06XR27GTF,Home & Kitchen,1110840.0,1110064.0
B06XR27GTF,"Water Coolers, Filters & Cartridges",2525.0,2520.0
B08QWZP6HY,Home & Kitchen,1537575.0,1533112.0
B08QWZP6HY,"Water Coolers, Filters & Cartridges",3174.0,3171.0
B08QWYL99Y,Home & Kitchen,1595090.0,1595150.0
B08QWYL99Y,"Water Coolers, Filters & Cartridges",3263.0,3265.0
B078FM391D,Home & Kitchen,116145.0,114675.0
B078FM391D,Water Purifier Accessories,1070.0,1027.0
B08QWY3F8J,Home & Kitchen,1955491.0,1949767.0
B08QWY3F8J,"Water Coolers, Filters & Cartridges",3757.0,3764.0
B00V67964C,Home Improvement,3924.0,3497.0
B00V67964C,Water Dispensers & Coolers,42.0,45.0
B07YVCFXC7,Home & Kitchen,607191.0,607150.0
B07YVCFXC7,"Water Coolers, Filters & Cartridges",1509.0,1517.0
B01M0XLU20,Home & Kitchen,129597.0,102069.0
B01M0XLU20,Water Purifier Accessories,1190.0,928.0
B07FLSTTNX,Home & Kitchen,64134.0,192440.0
B07FLSTTNX,Water Purifier Accessories,569.0,1685.0
B08QWZHPZX,Industrial & Scientific,30253.0,16326.0
B08QWZHPZX,Lab Instruments & Equipment,1562.0,848.0
B083G2HFPW,Home & Kitchen,142982.0,103391.0
B083G2HFPW,Water Purifier Accessories,1408.0,1050.0
B09HV38WX7,Home & Kitchen,223148.0,197209.0
B09HV38WX7,Water Purifier Accessories,2133.0,1900.0
B08QWZ5B7F,Home & Kitchen,437717.0,402896.0
B08QWZ5B7F,Electric Kettles,308.0,303.0
B07Y8LTTP4,Home & Kitchen,72674.0,106292.0
B07Y8LTTP4,"Water Coolers, Filters & Cartridges",267.0,368.0
B00I0UO7KG,Home & Kitchen,20565.0,34724.0
B00I0UO7KG,Water Bottles,458.0,715.0
B08PBS8YKV,Home & Kitchen,861236.0,844594.0
B08PBS8YKV,"Water Coolers, Filters & Cartridges",2013.0,1986.0
B08PBR6VQ6,Home & Kitchen,1567544.0,1565993.0
B08PBR6VQ6,"Water Coolers, Filters & Cartridges",3223.0,3225.0
B09P57691N,Home & Kitchen,57427.0,467376.0
B09P57691N,Water Purifier Accessories,518.0,3642.0
B08PBQYGDS,Home & Kitchen,503110.0,477028.0
B08PBQYGDS,"Water Coolers, Filters & Cartridges",1282.0,1233.0
B00UQBIWD0,Home & Kitchen,451856.0,437902.0
B00UQBIWD0,"Water Coolers, Filters & Cartridges",1178.0,1149.0
B08QWYHMM7,Home & Kitchen,372584.0,341311.0
B08QWYHMM7,"Water Coolers, Filters & Cartridges",1019.0,941.0
B09P58GK4Y,Home & Kitchen,115782.0,526209.0
B09P58GK4Y,Water Purifier Accessories,1063.0,4022.0
B07YV4W13V,Home & Kitchen,166154.0,133714.0
B07YV4W13V,Water Purifier Accessories,1641.0,1336.0
B09NYDTK67,Home & Kitchen,802259.0,763570.0
B09NYDTK67,Water Purifier Accessories,5554.0,5335.0
B08QWYJVS4,Home & Kitchen,833.0,844.0
B08QWYJVS4,"Water Coolers, Filters & Cartridges",5.0,6.0
B08PBV679W,Home & Kitchen,2064726.0,2064261.0
B08PBV679W,"Water Coolers, Filters & Cartridges",3903.0,3905.0
B08PBRPJ5H,Home & Kitchen,1639645.0,1639341.0
B08PBRPJ5H,"Water Coolers, Filters & Cartridges",3332.0,3332.0
B08QWZ5GMW,Home & Kitchen,907215.0,907376.0
B08QWZ5GMW,"Water Coolers, Filters & Cartridges",2110.0,2102.0
B079BX9BWV,Home & Kitchen,518695.0,514425.0
B079BX9BWV,"Water Coolers, Filters & Cartridges",1386.0,1370.0
B01ID0F1EI,Home & Kitchen,644150.0,644171.0
B01ID0F1EI,"Water Coolers, Filters & Cartridges",1583.0,1587.0
B0163X9N32,Home & Kitchen,12361.0,14924.0
B0163X9N32,Water Cartridges,12.0,18.0
B07Y3DC4JR,Home & Kitchen,1649076.0,1647986.0
B07Y3DC4JR,"Water Coolers, Filters & Cartridges",3380.0,3380.0
B07FZ6Z992,Home & Kitchen,18189.0,12313.0
B07FZ6Z992,Water Purifier Accessories,136.0,91.0
B07Y8LCTD5,Home & Kitchen,64899.0,215265.0
B07Y8LCTD5,Water Purifier Accessories,654.0,2040.0
