ASIN,Details Tag,Present
B08HRX87FJ,Noise Level,False
B08HRX87FJ,Voltage,True
B08HRX87FJ,Asin,True
B08HRX87FJ,Freezer Capacity,True
B08HRX87FJ,Capacity,True
B08HRX87FJ,Importer,True
B08HRX87FJ,Manufacturer'S Suggested Maximum Weight,False
B08HRX87FJ,Imported By,False
B08HRX87FJ,Temperature Rating,False
B08HRX87FJ,Material,True
B08HRX87FJ,Remote Control Included?,False
B08HRX87FJ,Wattage,False
B08HRX87FJ,Special Feature,False
B08HRX87FJ,Manufacturer Recommended Age,False
B08HRX87FJ,Item Width,False
B08HRX87FJ,Energy Efficiency,True
B08HRX87FJ,Batteries Included,True
B08HRX87FJ,Door Orientation,True
B079QY27NK,Drawer Type,False
B079QY27NK,Best Sellers Rank,True
B079QY27NK,Batteries,False
B079QY27NK,Number Of Shelves,True
B079QY27NK,Brand,True
B079QY27NK,Bottle Count,False
B079QY27NK,Item Model Number,False
B079QY27NK,Color,False
B079QY27NK,Generic Name,True
B079QY27NK,Shelf Type,True
B079QY27NK,Number Of Memory Sticks,False
B079QY27NK,Included Components,True
B079QY27NK,Model,True
B079QY27NK,Item Weight,True
B079QY27NK,Capacity Name,False
B079QY27NK,Net Quantity,True
B079QY27NK,Part Number,True
B079QY27NK,Form Factor,True
B079QY27NK,Assembly Required,False
B079QY27NK,Package Dimensions,False
B079QY27NK,Annual Energy Consumption,False
B079QY27NK,Refrigerator Fresh Food Capacity,True
B079QY27NK,Item Dimensions Lxwxh,True
B079QY27NK,Country Of Origin,True
B079QY27NK,Number Of Drawers,False
B079QY27NK,Number Of Puzzle Pieces,False
B079QY27NK,Manufacturer,True
B079QY27NK,Special Features,True
B079QY27NK,Scale,False
B079QY27NK,Installation Type,True
B079QY27NK,Ice Storage Capacity,False
B079QY27NK,Batteries Required,True
B079QY27NK,Product Dimensions,False
B079QY27NK,Material Type(S),False
B079QY27NK,Item Height,False
B079QY27NK,Defrost System,True
B079QY27NK,Packer,True
B079QY27NK,Customer Reviews,True
B079QY27NK,Cooling Type,False
B079QY27NK,Model Number,False
B079QY27NK,Volume Capacity Name,True
B079QY27NK,Language:,False
B079QY27NK,Date First Available,True
B079QY27NK,Control Console,False
B079QY27NK,Door Material,False
B079QY27NK,Certification,True
B079QY27NK,Colour,True
B079QY27NK,Noise Level,False
B079QY27NK,Voltage,False
B079QY27NK,Asin,True
B079QY27NK,Freezer Capacity,True
B079QY27NK,Capacity,True
B079QY27NK,Importer,True
B079QY27NK,Manufacturer'S Suggested Maximum Weight,False
B079QY27NK,Imported By,True
B079QY27NK,Temperature Rating,False
B079QY27NK,Material,True
B079QY27NK,Remote Control Included?,False
B079QY27NK,Wattage,False
B079QY27NK,Special Feature,False
B079QY27NK,Manufacturer Recommended Age,False
B079QY27NK,Item Width,False
B079QY27NK,Energy Efficiency,True
B079QY27NK,Batteries Included,True
B079QY27NK,Door Orientation,False
B08523BC7W,Drawer Type,False
B08523BC7W,Best Sellers Rank,True
B08523BC7W,Batteries,False
B08523BC7W,Number Of Shelves,False
B08523BC7W,Brand,True
B08523BC7W,Bottle Count,False
B08523BC7W,Item Model Number,False
B08523BC7W,Color,False
B08523BC7W,Generic Name,True
B08523BC7W,Shelf Type,True
B08523BC7W,Number Of Memory Sticks,False
B08523BC7W,Included Components,True
B08523BC7W,Model,True
B08523BC7W,Item Weight,True
B08523BC7W,Capacity Name,False
B08523BC7W,Net Quantity,True
B08523BC7W,Part Number,True
B08523BC7W,Form Factor,True
B08523BC7W,Assembly Required,False
B08523BC7W,Package Dimensions,False
B08523BC7W,Annual Energy Consumption,True
B08523BC7W,Refrigerator Fresh Food Capacity,True
B08523BC7W,Item Dimensions Lxwxh,True
B08523BC7W,Country Of Origin,True
B08523BC7W,Number Of Drawers,False
B08523BC7W,Number Of Puzzle Pieces,False
B08523BC7W,Manufacturer,True
B08523BC7W,Special Features,True
B08523BC7W,Scale,False
B08523BC7W,Installation Type,True
B08523BC7W,Ice Storage Capacity,False
B08523BC7W,Batteries Required,True
B08523BC7W,Product Dimensions,False
B08523BC7W,Material Type(S),False
B08523BC7W,Item Height,False
B08523BC7W,Defrost System,True
B08523BC7W,Packer,True
B08523BC7W,Customer Reviews,True
B08523BC7W,Cooling Type,False
B08523BC7W,Model Number,False
B08523BC7W,Volume Capacity Name,True
