ASIN,Category,Latest BSR,Last Day BSR
B09QT66RXS,Washing Machines & Dryers,1628.0,1627.0
B083RTR5LB,Home & Kitchen,628230.0,627489.0
B083RTR5LB,Washing Machines & Dryers,990.0,988.0
B08ZJHJ5DJ,Home & Kitchen,27638.0,71880.0
B08ZJHJ5DJ,Washing Machines & Dryers,104.0,180.0
B08ZJJZDMP,Home & Kitchen,28968.0,17559.0
B08ZJJZDMP,Washing Machines & Dryers,101.0,64.0
B0886QYDGS,Home & Kitchen,301183.0,268085.0
B0886QYDGS,Washing Machines & Dryers,562.0,510.0
B09QT7CDX2,Home & Kitchen,500387.0,482750.0
B09QT7CDX2,Washing Machines & Dryers,828.0,809.0
B0886R9RS1,Home & Kitchen,846663.0,845803.0
B0886R9RS1,Washing Machines & Dryers,1239.0,1242.0
B082GCNKVN,Home & Kitchen,169447.0,132880.0
B082GCNKVN,Washing Machines & Dryers,331.0,277.0
B082GFNRKM,Home & Kitchen,192357.0,172029.0
B082GFNRKM,Washing Machines & Dryers,364.0,334.0
B0886PBYHH,Home & Kitchen,1056059.0,1054345.0
B0886PBYHH,Washing Machines & Dryers,1401.0,1399.0
B07P3QJY81,Home & Kitchen,1142696.0,1140476.0
B07P3QJY81,Washing Machines & Dryers,1463.0,1465.0
B0826Y7LLL,Home & Kitchen,176596.0,160708.0
B0826Y7LLL,Washing Machines & Dryers,341.0,316.0
B07NZBLJSK,Home & Kitchen,1345147.0,1344271.0
B07NZBLJSK,Washing Machines & Dryers,1602.0,1604.0
B09QT78JFK,Home & Kitchen,734659.0,713062.0
B09QT78JFK,Washing Machines & Dryers,1100.0,1086.0
B095PSDDM5,Home & Kitchen,739657.0,723473.0
B095PSDDM5,Washing Machines & Dryers,1105.0,1095.0
B082G9RYZ9,Home & Kitchen,74979.0,78477.0
B082G9RYZ9,Washing Machines & Dryers,182.0,192.0
B08T3NGHT6,Home & Kitchen,1117298.0,1114848.0
B08T3NGHT6,Washing Machines & Dryers,1450.0,1448.0
B095PT9K7Z,Home & Kitchen,209883.0,173188.0
B095PT9K7Z,Washing Machines & Dryers,392.0,339.0
B09QT8B4ML,Home & Kitchen,372823.0,358932.0
B09QT8B4ML,Washing Machines & Dryers,675.0,664.0
B082FJ9RS7,Home & Kitchen,1755.0,1940.0
B082FJ9RS7,Washing Machines & Dryers,11.0,9.0
B08R8DGDSK,Home & Kitchen,9884.0,9453.0
B08R8DGDSK,Washing Machines & Dryers,48.0,43.0
B084CMDS7B,Home & Kitchen,16939.0,14434.0
B084CMDS7B,Washing Machines & Dryers,63.0,58.0
B08SMC7R5S,Home & Kitchen,24022.0,64004.0
B08SMC7R5S,Washing Machines & Dryers,94.0,173.0
B08QNZTQ96,Home & Kitchen,3298.0,3326.0
B08QNZTQ96,Washing Machines & Dryers,21.0,12.0
B082FJMJNN,Home & Kitchen,11927.0,12926.0
B082FJMJNN,Washing Machines & Dryers,54.0,53.0
B09N9BKYN9,Home & Kitchen,113498.0,40487.0
B09N9BKYN9,Washing Machines & Dryers,257.0,119.0
B07NXCK997,Home & Kitchen,42323.0,43374.0
B07NXCK997,Washing Machines & Dryers,127.0,123.0
B09NDNCGD7,Home & Kitchen,96536.0,128790.0
B09NDNCGD7,Washing Machines & Dryers,228.0,273.0
B083G1NDTK,Home & Kitchen,63844.0,33087.0
B083G1NDTK,Washing Machines & Dryers,168.0,106.0
B089L2FBDF,Home & Kitchen,95806.0,61200.0
B089L2FBDF,Washing Machines & Dryers,225.0,165.0
B07WGD8QQT,Home & Kitchen,1639.0,2295.0
B07WGD8QQT,Washing Machines & Dryers,10.0,11.0
B08L5CRR6R,Home & Kitchen,130472.0,117083.0
B08L5CRR6R,Washing Machines & Dryers,284.0,244.0
B084CM7DT2,Home & Kitchen,21942.0,56841.0
B084CM7DT2,Washing Machines & Dryers,78.0,152.0
B083G1VSS2,Home & Kitchen,32317.0,35905.0
B083G1VSS2,Washing Machines & Dryers,114.0,113.0
B07BNLKS7V,Home & Kitchen,32695.0,54883.0
B07BNLKS7V,Washing Machines & Dryers,111.0,146.0
B08QP41KBP,Home & Kitchen,7209.0,10058.0
B08QP41KBP,Washing Machines & Dryers,38.0,46.0
B083G25P9L,Home & Kitchen,3107.0,3934.0
B083G25P9L,Washing Machines & Dryers,17.0,18.0
B08WBVTXKY,Home & Kitchen,40922.0,85409.0
B08WBVTXKY,Washing Machines & Dryers,124.0,200.0
B083G1WGLF,Home & Kitchen,4908.0,4121.0
B083G1WGLF,Washing Machines & Dryers,30.0,19.0
B08CN7RZ6R,Home & Kitchen,48731.0,34285.0
B08CN7RZ6R,Washing Machines & Dryers,146.0,110.0
B0824138J4,Home & Kitchen,37446.0,45405.0
B0824138J4,Washing Machines & Dryers,126.0,129.0
B08XMNBD3Q,Home & Kitchen,216381.0,199219.0
B08XMNBD3Q,Washing Machines & Dryers,409.0,383.0
B08KTL8FDF,Home & Kitchen,256026.0,247702.0
B08KTL8FDF,Washing Machines & Dryers,474.0,476.0
B08Y5PMRTB,Home & Kitchen,945799.0,944169.0
B08Y5PMRTB,Washing Machines & Dryers,1325.0,1328.0
B0824QD8K7,Home & Kitchen,401227.0,389298.0
B0824QD8K7,Washing Machines & Dryers,698.0,696.0
B099GLFH5T,Home & Kitchen,54423.0,76281.0
B099GLFH5T,Washing Machines & Dryers,156.0,186.0
B08SR5BPLK,Home & Kitchen,37263.0,26310.0
B08SR5BPLK,Washing Machines & Dryers,119.0,84.0
B072FPNN8K,Home & Kitchen,89724.0,66571.0
B072FPNN8K,Washing Machines & Dryers,211.0,177.0
B08J3KFLBS,Home & Kitchen,25576.0,58732.0
B08J3KFLBS,Washing Machines & Dryers,98.0,159.0
B07NSRNF79,Home & Kitchen,94604.0,83592.0
B07NSRNF79,Washing Machines & Dryers,223.0,197.0
B07SVFX64L,Home & Kitchen,155654.0,118347.0
B07SVFX64L,Washing Machines & Dryers,312.0,249.0
B08DKSRXD6,Home & Kitchen,207334.0,184589.0
B08DKSRXD6,Washing Machines & Dryers,385.0,357.0
B08TMHVHK7,Home & Kitchen,1976859.0,1975671.0
B08TMHVHK7,Washing Machines & Dryers,1886.0,1888.0
B08DM383L2,Home & Kitchen,90980.0,187124.0
B08DM383L2,Washing Machines & Dryers,216.0,360.0
B07BGWM39P,Home & Kitchen,761330.0,760519.0
B07BGWM39P,Washing Machines & Dryers,1133.0,1135.0
B08DKPMB43,Home & Kitchen,2294157.0,2293484.0
B08DKPMB43,Washing Machines & Dryers,1992.0,1994.0
B08XLV4NTG,Home & Kitchen,416813.0,389197.0
B08XLV4NTG,Washing Machines & Dryers,716.0,695.0
B09CL1ZJVV,Home & Kitchen,1348131.0,1338028.0
B09CL1ZJVV,Washing Machines & Dryers,1606.0,1600.0
B09FTFB1JF,Home & Kitchen,1483378.0,1482078.0
B09FTFB1JF,Washing Machines & Dryers,1674.0,1675.0
B08TCDKVVJ,Home & Kitchen,525488.0,521667.0
B08TCDKVVJ,Washing Machines & Dryers,852.0,850.0
B096LWG3WW,Home & Kitchen,1456006.0,1454758.0
B096LWG3WW,Washing Machines & Dryers,1660.0,1661.0
B09GG5ZZYK,Home & Kitchen,1309457.0,1308377.0
B09GG5ZZYK,Washing Machines & Dryers,1580.0,1581.0
B08D7RWNWK,Home & Kitchen,475700.0,472223.0
B08D7RWNWK,Washing Machines & Dryers,792.0,797.0
B08KHM2NQF,Home & Kitchen,326637.0,315292.0
B08KHM2NQF,Washing Machines & Dryers,600.0,598.0
B081B17C46,Home & Kitchen,2273272.0,2270880.0
B081B17C46,Washing Machines & Dryers,1990.0,1989.0
B09C693228,Home & Kitchen,25879.0,46248.0
B09C693228,Washing Machines & Dryers,100.0,133.0
B08KG935SL,Home & Kitchen,380225.0,379149.0
B08KG935SL,Washing Machines & Dryers,680.0,684.0
B08KPGSZF8,Home & Kitchen,511136.0,510466.0
B08KPGSZF8,Washing Machines & Dryers,837.0,844.0
B08KVSXSHK,Home & Kitchen,287412.0,274032.0
B08KVSXSHK,Washing Machines & Dryers,541.0,524.0
B08NF2WMKN,Home & Kitchen,1306308.0,1304671.0
B08NF2WMKN,Washing Machines & Dryers,1580.0,1577.0
B08D787TK9,Home & Kitchen,143132.0,77716.0
B08D787TK9,Washing Machines & Dryers,298.0,189.0
B07Y6GX71V,Home & Kitchen,551763.0,550696.0
B07Y6GX71V,Washing Machines & Dryers,892.0,894.0
B08D7QST4Q,Home & Kitchen,535576.0,533106.0
B08D7QST4Q,Washing Machines & Dryers,866.0,867.0
B09GK92KZT,Home & Kitchen,1902878.0,1901588.0
B09GK92KZT,Washing Machines & Dryers,1866.0,1868.0
B09BVLHR1X,Home & Kitchen,2361399.0,2361285.0
B09BVLHR1X,Washing Machines & Dryers,2022.0,2024.0
B084VJT92G,Home & Kitchen,1214825.0,1213714.0
B084VJT92G,Washing Machines & Dryers,1516.0,1516.0
B084VJGNL8,Home & Kitchen,875535.0,851486.0
B084VJGNL8,Washing Machines & Dryers,1267.0,1250.0
B09BQTPR88,Home & Kitchen,348886.0,323615.0
B09BQTPR88,Washing Machines & Dryers,642.0,610.0
B09HC3Q9KW,Home & Kitchen,2403682.0,2403717.0
B09HC3Q9KW,Washing Machines & Dryers,2071.0,2073.0
B09BVLTBH1,Home & Kitchen,995167.0,993484.0
B09BVLTBH1,Washing Machines & Dryers,1371.0,1369.0
B08XLZDBJ8,Home & Kitchen,1002614.0,1001651.0
B08XLZDBJ8,Washing Machines & Dryers,1374.0,1374.0
B08KHKPNBR,Home & Kitchen,1108712.0,1107699.0
B08KHKPNBR,Washing Machines & Dryers,1441.0,1441.0
B08KPG8HX5,Home & Kitchen,675724.0,674717.0
B08KPG8HX5,Washing Machines & Dryers,1035.0,1036.0
B08XLMP6BW,Home & Kitchen,1057932.0,1057008.0
B08XLMP6BW,Washing Machines & Dryers,1404.0,1404.0
