ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
TLCGH6PGMNGWW2PK,2022-11-11,266.0,266.0,969.0,1036.0,12.0,1.0
TLCFSDENYGTMKT8Y,2022-11-07,,,,,,
TLCFSDENYGTMKT8Y,2022-11-08,261.0,,183.0,,29.0,1.0
TLCFSDENYGTMKT8Y,2022-11-09,390.0,261.0,183.0,183.0,29.0,1.0
TLCFSDENYGTMKT8Y,2022-11-10,390.0,390.0,183.0,183.0,29.0,1.0
TLCFSDENYGTMKT8Y,2022-11-11,390.0,390.0,183.0,183.0,29.0,1.0
TLCG27XKGCUDSKUA,2022-11-07,,,,,,
TLCG27XKGCUDSKUA,2022-11-08,280.0,,462.0,,16.0,1.0
TLCG27XKGCUDSKUA,2022-11-09,280.0,280.0,462.0,462.0,16.0,1.0
TLCG27XKGCUDSKUA,2022-11-10,266.0,280.0,458.0,462.0,16.0,1.0
TLCG27XKGCUDSKUA,2022-11-11,266.0,266.0,455.0,458.0,16.0,1.0
TLCF4D8MAGTRGKZ5,2022-11-07,,,,,,
TLCF4D8MAGTRGKZ5,2022-11-08,228.0,,,,,1.0
TLCF4D8MAGTRGKZ5,2022-11-09,228.0,228.0,,,,1.0
TLCF4D8MAGTRGKZ5,2022-11-10,228.0,228.0,,,,1.0
TLCF4D8MAGTRGKZ5,2022-11-11,228.0,228.0,,,,1.0
TLCFUGXYUFMKZKCK,2022-11-07,,,,,,
TLCFUGXYUFMKZKCK,2022-11-08,305.0,,196.0,,26.0,1.0
TLCFUGXYUFMKZKCK,2022-11-09,305.0,305.0,196.0,196.0,26.0,1.0
TLCFUGXYUFMKZKCK,2022-11-10,305.0,305.0,196.0,196.0,26.0,1.0
TLCFUGXYUFMKZKCK,2022-11-11,305.0,305.0,196.0,196.0,26.0,1.0
TLCFE7KUSQHMWWGE,2022-11-07,,,,,,
TLCFE7KUSQHMWWGE,2022-11-08,115.0,,139.0,,32.0,1.0
TLCFE7KUSQHMWWGE,2022-11-09,115.0,115.0,109.0,139.0,34.0,1.0
TLCFE7KUSQHMWWGE,2022-11-10,115.0,115.0,118.0,109.0,34.0,1.0
TLCFE7KUSQHMWWGE,2022-11-11,115.0,115.0,147.0,118.0,31.0,1.0
TLCFSYGXUCED8DQG,2022-11-07,,,,,,
TLCFSYGXUCED8DQG,2022-11-08,230.0,,,,,1.0
TLCFSYGXUCED8DQG,2022-11-09,230.0,230.0,,,,1.0
TLCFSYGXUCED8DQG,2022-11-10,230.0,230.0,,,,1.0
TLCFSYGXUCED8DQG,2022-11-11,230.0,230.0,,,,1.0
TLCG27XTJFAQ3SHR,2022-11-07,,,,,,
TLCG27XTJFAQ3SHR,2022-11-08,278.0,,416.0,,20.0,1.0
