ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
TLCFSDENYGTMKT8Y,Mihindira Yadav,5,Highly recommended,2022-09-08 00:00:00,Value for the money. Good Purchase.,Value,0.7105522155761719,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Bhubaneswar"
TLCFSDENYGTMKT8Y,Mihindira Yadav,5,Highly recommended,2022-09-08 00:00:00,Value for the money. Good Purchase.,money,0.24848833680152893,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Bhubaneswar"
TLCFSDENYGTMKT8Y,Mihindira Yadav,5,Highly recommended,2022-09-08 00:00:00,Value for the money. Good Purchase.,Purchase,0.040959432721138,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Bhubaneswar"
TLCFSDENYGTMKT8Y,Sekhar Naidu,4,Value-for-money,2022-06-08 00:00:00,Nice one regular using in summer season.,regular,0.7983086109161377,0.5,0.5,FLIPKART,0,0,"Certified Buyer , Visakhapatnam"
TLCFSDENYGTMKT8Y,Sekhar Naidu,4,Value-for-money,2022-06-08 00:00:00,Nice one regular using in summer season.,summer season,0.20169135928153992,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Visakhapatnam"
TLCFSDENYGTMKT8Y,Prerit Raj Gautam,1,Very poor,2021-08-31 00:00:00,Quantity in this is less then which was mentioned on it.,Quantity,1.0,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Agra"
TLCFSDENYGTMKT8Y,Mrutyunjaya panda,1,Worthless,2021-05-31 00:00:00,Please don't buy this product.they provide wrong product and price is too high,product.,0.5015345215797424,-0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Baleshwar District"
TLCFSDENYGTMKT8Y,Mrutyunjaya panda,1,Worthless,2021-05-31 00:00:00,Please don't buy this product.they provide wrong product and price is too high,product,0.33701643347740173,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Baleshwar District"
TLCFSDENYGTMKT8Y,Mrutyunjaya panda,1,Worthless,2021-05-31 00:00:00,Please don't buy this product.they provide wrong product and price is too high,price,0.16144904494285583,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Baleshwar District"
TLCFSDENYGTMKT8Y,Rani kumari Chaudhary,1,Unsatisfactory,2021-05-31 00:00:00,I hate the product money waste,product money waste,1.0,-0.800000011920929,0.800000011920929,FLIPKART,2,0,"Certified Buyer , Imphal"
TLCGYP9UGMYDZRDG,Vijender Singh,5,Terrific,2022-09-08 00:00:00,nice product and good service,product,0.6507119536399841,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Hisar"
TLCGYP9UGMYDZRDG,Vijender Singh,5,Terrific,2022-09-08 00:00:00,nice product and good service,service,0.34928804636001587,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Hisar"
TLCGYP9UGMYDZRDG,karampreet singh,4,Value-for-money,2022-08-08 00:00:00,Very good product for summer.,product,1.0,0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Jalandhar"
TLCGYP9UGMYDZRDG,Flipkart Customer,2,Moderate,2022-08-08 00:00:00,One of product is useless,product,1.0,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Imphal"
TLCGBWPDHCZXJDKM,Sasmita Behera,1,Very poor,2022-11-04 00:00:00,Very bad product Don't buy this,product,1.0,-0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Bhuban"
TLCGBWPDHCZXJDKM,Salahuddin Khan,4,Delightful,2022-10-08 00:00:00,Nice product but late delivery,product,0.6507119536399841,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Siddharthnagar"
TLCGBWPDHCZXJDKM,Salahuddin Khan,4,Delightful,2022-10-08 00:00:00,Nice product but late delivery,delivery,0.34928804636001587,-0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Siddharthnagar"
TLCGBWPDHCZXJDKM,Toolika Goyal,1,Did not meet expectations,2022-10-08 00:00:00,This product is in very terrific condition. Soap is melted this much you even can't hold (grip) in hand.😞😤😤 And From last 3-4 orders i received everything is defected now I'm tired from you Flipkart.,product,0.5226088166236877,0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Agra"
TLCGBWPDHCZXJDKM,Toolika Goyal,1,Did not meet expectations,2022-10-08 00:00:00,This product is in very terrific condition. Soap is melted this much you even can't hold (grip) in hand.😞😤😤 And From last 3-4 orders i received everything is defected now I'm tired from you Flipkart.,condition,0.18253381550312042,0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Agra"
TLCGBWPDHCZXJDKM,Toolika Goyal,1,Did not meet expectations,2022-10-08 00:00:00,This product is in very terrific condition. Soap is melted this much you even can't hold (grip) in hand.😞😤😤 And From last 3-4 orders i received everything is defected now I'm tired from you Flipkart.,Soap,0.08989649266004562,-0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Agra"
TLCGBWPDHCZXJDKM,Toolika Goyal,1,Did not meet expectations,2022-10-08 00:00:00,This product is in very terrific condition. Soap is melted this much you even can't hold (grip) in hand.😞😤😤 And From last 3-4 orders i received everything is defected now I'm tired from you Flipkart.,grip,0.08671442419290543,-0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Agra"
