Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Present
Hair growth,-1,HOLG8E3ZCKAFCS6Y,Dabur Anmol Gold Pure Coconut Hair Oil  (250 ml),Dabur Hair Oil,,,FALSE,FALSE
Hair growth,-1,HSMGETFWRRNUNA9D,Man Matters DarkMax Anti Grey Hair Tonic & Beard Tonic | Darkenyl | Hair Serum For Grey Hair  (60 ml),Man Matters Hair Serum,899,,TRUE,FALSE
Hair growth,-1,HOLFH56GZZBSTGFV,Kesh King Scalp and Medicinal Ayurvedic Hair Oil  (100 ml),Kesh King Hair Oil,144,,TRUE,FALSE
Hair growth,-1,HTTG6SKUEDYMYKGV,"Aayush herbal Amla Powder 100% Pure & Natural for Face, Hair Care & Scalp Treatment, 100g  (100 g)",Aayush Herbal Hair Treatment,105,,TRUE,FALSE
Hair growth,-1,HTTFYRCFMBHQMXPZ,Aayush herbal 100% NATURAL Amla+Shikakai+Reetha Powder For Hair Growth/Hair treatment (100g Each),Aayush Herbal Hair Treatment,199,599,TRUE,FALSE
Hair growth,-1,HRCG6TZYZG8HHQQR,"Sterling Naturals MEGHA Mehendi Hair Care Powder – Megha Mehendi for Hair|Natural Solution for Long| Healthy and Strong Hair|Control Hair Fall & Repairs Damaged Hair | Natural Conditioning & Anti-Dandruff Hair Colour Solution, for Men & Women , NATURAL BROWN",Sterling Hair Color,150,,FALSE,FALSE
Hair growth,-1,CNDFTHY5AUG6PBHU,DOVE Intense Repair Conditioner,Dove Conditioner,354,355,FALSE,FALSE
Hair growth,-1,HTTFYRA4NE95WCYT,"St.Botanica Pro Keratin & Argan Oil Hair Mask 200ml - Intensive Conditioning For Dry, Damaged, Color Treated Hair  (200 ml)",St.Botanica Hair Treatment,417,,TRUE,FALSE
Hair growth,-1,HTTEZVAGYTPGYUDS,Indus Valley Natural & Organic Amla Indian Gooseberry Powder For Hair Care Mask and Skin  (100 g),Indus Valley Hair Treatment,179,,TRUE,FALSE
Hair growth,-1,HSYGBBFFSPDNGPZS,Love Beauty & Planet Argan Oil & Lavender Hair Mask  (200 ml),Love Beauty & Planet Hair Treatment,600,,TRUE,FALSE
Hair growth,-1,HSYFZZSYFMZZN3TC,DOVE Intense Damage Repair Hair Mask  (300 ml),Dove Hair Treatment,371,,TRUE,FALSE
Hair growth,-1,HTTFGGQ34VAYGEUV,"MamaEarth Onion Hair Mask For Dry & Frizzy Hair, Controls Hairfall  (200 ml)",Mamaearth Hair Treatment,527,,TRUE,FALSE
Hair growth,-1,HTTGCPPFGJZXQCZJ,Kayamaya Natural & Organic Amla Indian Gooseberry Powder for Hair Care Mask and Skin,Kayamaya Hair Treatment,169,199,TRUE,FALSE
Hair growth,-1,HTTD9YX2QTGYVHMP,HIMALAYA Anti Hair Loss Cream  (100 ml),Himalaya Hair Treatment,218,,TRUE,FALSE
Hair growth,-1,CNDD9ZYZAFJKUY88,L'Oréal Paris Total Repair 5 Conditioner  (192.5 ml),L'Oréal Paris Conditioner,175,,FALSE,FALSE
Hair growth,-1,HTTGGDYFTEGZAF7Y,"L'Oréal Paris Hyaluron Moisture 72H Hydra Filling Night Cream - Leave In Cream, 180 ml  (180 ml)",L'Oréal Paris Hair Treatment,428,,TRUE,FALSE
Hair growth,-1,HTTFR88UXG2ZYHPG,HerbsLand Combo of-Amla Reetha Shikakai Hibiscus & Bhringraj Powder for Hair Pack (125gm Each)  (625 g),Herbsland Hair Treatment,290,,TRUE,FALSE
Hair growth,-1,HSYG7ESZHKJVARZB,"HealthBest Kidbest Hair Gel for Kids Hair Styling | Made with Organic Argan Oil, Kertine & Moringa Oil | Hair Growth | Damaged Hair | Tear, Paraben, SLS free | 50ml Hair Gel  (50 ml)",Healthbest Hair Gel,199,,TRUE,FALSE
Hair growth,-1,CNDG4J6UQQTUU7KD,"TRUNEXT Coconut and Avocado Conditioner, Avocado Coconut Conditioner, Paraben Free and No Sulphate Avocado Coconut Oil Conditioner,300 ml  (300 ml)",Trunext Conditioner,279,,TRUE,FALSE
Hair growth,-1,CNDG4J6UZ8WHC89J,"TRUNEXT Moroccan Argan Hair Conditioner, Moroccan Argan Conditioner with Organic Argan Oil and Vitamin E - No Sulphate and Paraben Free Present in Moroccan Argan Oil Conditioner, 300 ml  (300 ml)",Trunext Conditioner,279,,TRUE,FALSE
Hair growth,-1,CNDG4J6UJTZZBXZH,"TRUNEXT Onion Black Seed Hair Conditioner, Black Seed Red Onion Conditioner, No Sulphate and Paraben Free Blackseed Onion Hair Conditioner,300 ml",Trunext Conditioner,279,599,TRUE,FALSE
Hair growth,-1,HSMEMWKET3P2MXFA,"LIVON Hair Serum for Women & Men, All Hair Types for Smooth, Frizz free & Glossy Hair  (200 ml)",Livon Hair Serum,400,,TRUE,FALSE
Hair growth,-1,HSMEEHPAQ3AU6PKY,BIOTIQUE Mountain Ebony anti hair fall hair serum  (120 ml),Biotique Hair Serum,167,,TRUE,FALSE
