ASIN,Marketplace,Sentiment Score
SMPFWPEAG5FEWAZR,FLIPKART,4.333333333333333
SMPFWPAP9DBKGGWS,FLIPKART,4.0
SMPFWPAPHFRNZGHH,FLIPKART,4.333333333333333
SMPFWPEA7JAFGBRV,FLIPKART,4.666666666666667
SMPEJ9FFJAHGEAZT,FLIPKART,4.5
CNDD9ZYZSX8FHQFH,FLIPKART,4.666666666666667
SMPEJ9FFT8KXXUUH,FLIPKART,4.2
SMPG5DHY7UWUAHMW,FLIPKART,5.0
SMPG9MRZ5W9WFT9B,FLIPKART,2.5
SMPF3RY6H7AGTDJ7,FLIPKART,5.0
SMPF2RD3MKHH2UXD,FLIPKART,4.5
SMPEJ9FFSY56YDB2,FLIPKART,1.3333333333333333
SMPF3RY66ZG6CCM4,FLIPKART,4.0
SMPFUHM82QPRBMR8,FLIPKART,3.6666666666666665
SMPFWXYRYEBMNXAH,FLIPKART,4.0
SMPFJ3FY4YFGMFFU,FLIPKART,5.0
SMPG2J5GAUGKGA4P,FLIPKART,4.5
SMPF5Q24SEZUYZZF,FLIPKART,1.0
SMPFWPAPKY52FY3C,FLIPKART,2.0
