ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
SMPFKXTHHZRNMVVH,Munnie  Mondal,1,Very poor,2022-08-12 00:00:00,Very Bad shampoo... Made my hair rough. Giving this review after two weeks. Don't buy.,shampoo,0.7557875514030457,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Chapra"
SMPFKXTHHZRNMVVH,Munnie  Mondal,1,Very poor,2022-08-12 00:00:00,Very Bad shampoo... Made my hair rough. Giving this review after two weeks. Don't buy.,hair,0.12668092548847198,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Chapra"
SMPFKXTHHZRNMVVH,Munnie  Mondal,1,Very poor,2022-08-12 00:00:00,Very Bad shampoo... Made my hair rough. Giving this review after two weeks. Don't buy.,review,0.11753153055906296,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Chapra"
SMPFKXTHHZRNMVVH,Suresh P,5,Classy product,2022-08-11 00:00:00,Best for dandruff. Gentle on hair,dandruff,0.6036399006843567,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Krishna"
SMPFKXTHHZRNMVVH,Suresh P,5,Classy product,2022-08-11 00:00:00,Best for dandruff. Gentle on hair,hair,0.221163809299469,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Krishna"
SMPFKXTHHZRNMVVH,Suresh P,5,Classy product,2022-08-11 00:00:00,Best for dandruff. Gentle on hair,Gentle,0.17519627511501312,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Krishna"
SMPFKXTHHZRNMVVH,Flipkart Customer,4,Really Nice,2022-07-27 00:00:00,Thank you so much 🙏🙏,🙏,1.0,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Bengaluru"
SMPFKXTHGDJYPYF4,sufaid kp,5,Highly recommended,2022-08-22 00:00:00,"Pwoli saanam!! As its says, it really FIGHTS DANDRUFF!!🤛🤛",Pwoli,1.0,0.10000000149011612,0.10000000149011612,FLIPKART,0,0,"Certified Buyer , Mayyil"
SMPFKXTHGDJYPYF4,Sohil Akhter,4,Value-for-money,2022-08-20 00:00:00,Nice and effective shampoo go for it also makes hair soft,shampoo,1.0,0.699999988079071,1.399999976158142,FLIPKART,0,0,"Certified Buyer , Narshinghpur"
SMPFKXTHGDJYPYF4,Flipkart Customer,1,Utterly Disappointed,2022-08-17 00:00:00,Such a horrible product🤮🤮totally unsatisfied,product,1.0,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , New Town"
