Amazon_URL,ASIN,Flipkart_URL,PID,LID,Marketplace,static
www.amazon.in/dp/B07FBZLXT2,B07FBZLXT2,https://www.flipkart.com/duracell-cr2-photo-lithium-battery/p/itm8f833e7e8c5b6?pid=ACCFZY8KNZEBDHYE&lid=LSTACCFZY8KNZEBDHYE7TRRFC&marketplace=FLIPKART&q=Duracell+Specialty+Type+CR2+Ultra+Lithium&store=tyy%2F4mr%2Fw65&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=73836318-1c3d-4514-bdec-7c12d5e06837.ACCFZY8KNZEBDHYE.SEARCH&ppt=sp&ppn=sp&ssid=y9ghkuf2g00000001644908614718&qH=39cc7b8225631af0,ACCFZY8KNZEBDHYE,LSTACCFZY8KNZEBDHYE7TRRFC,FLIPKART,https://www.flipkart.com/duracell-cr2-photo-lithium-battery/p/itm8f833e7e8c5b6
www.amazon.in/dp/B07BFNF9NV,B07BFNF9NV,,,,,
www.amazon.in/dp/B00M1G1I5W,B00M1G1I5W,https://www.flipkart.com/panasonic-cr-1616-battery/p/itm238f8b8ca9e58?pid=ACCG4AGT2WVZSN2V&lid=LSTACCG4AGT2WVZSN2VUCUUQX&marketplace=FLIPKART&q=Panasonic+Lithium+Coin+Battery+CR1616&store=tyy%2F4mr%2Fw65&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=8502311f-1240-45ed-9bbb-3acb930a63d5.ACCG4AGT2WVZSN2V.SEARCH&ppt=sp&ppn=sp&ssid=zuj9mdscc00000001644908772291&qH=e4f8852108b2bfa9,ACCG4AGT2WVZSN2V,LSTACCG4AGT2WVZSN2VUCUUQX,FLIPKART,https://www.flipkart.com/panasonic-cr-1616-battery/p/itm238f8b8ca9e58
www.amazon.in/dp/B07LB5TGDD,B07LB5TGDD,https://www.flipkart.com/energizer-alkaline-batteries-size-aaaa-1-5-v-blister-pack-2-battery/p/itm0d2cbb18198ff?pid=ACCFP9HRZ9HXSFUD&lid=LSTACCFP9HRZ9HXSFUDXAOJJ9&marketplace=FLIPKART&q=Energizer+Alkaline+AAAA+Speciality+Batteries&store=tyy%2F4mr%2Fw65&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=4a2ea38f-4f42-45a0-a0ef-ab3e4ce8db50.ACCFP9HRZ9HXSFUD.SEARCH&ppt=sp&ppn=sp&ssid=p3hdjfm5680000001644908886943&qH=31a8838d91e6d919,ACCFP9HRZ9HXSFUD,LSTACCFP9HRZ9HXSFUDXAOJJ9,FLIPKART,https://www.flipkart.com/energizer-alkaline-batteries-size-aaaa-1-5-v-blister-pack-2-battery/p/itm0d2cbb18198ff
www.amazon.in/dp/B017SKZM7U,B017SKZM7U,https://www.flipkart.com/eveready-1012-battery/p/itmedc207e18e600?pid=ACCEUJSTP25VGBF5&lid=LSTACCEUJSTP25VGBF56SSDVT&marketplace=GROCERY&q=Eveready+AAA+Battery&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=70e2a440-67ba-451b-b88e-6e49be6b6f9d.ACCEUJSTP25VGBF5.SEARCH&ppt=sp&ppn=sp&ssid=mna8iwthds0000001644909023691&qH=6eef0e1dd0e2d957,ACCEUJSTP25VGBF5,LSTACCEUJSTP25VGBF56SSDVT,GROCERY,https://www.flipkart.com/eveready-1012-battery/p/itmedc207e18e600
www.amazon.in/dp/B07HFCC24D,B07HFCC24D,https://www.flipkart.com/panasonic-aa-goldplus-1-5v-r6ndg-1b10-battery-pack-30/p/itmfgq2ehzhhwsmf?pid=ACCFGPWHV7ZZQ8EF&lid=LSTACCFGPWHV7ZZQ8EFECJCKB&marketplace=FLIPKART&q=Panasonic+Gold&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=a135bbea-e63c-4840-9227-fcfa261b044c.ACCFGPWHV7ZZQ8EF.SEARCH&ppt=sp&ppn=sp&ssid=g5h6kfwzao0000001644909088821&qH=1c7c57cb364fb649,ACCFGPWHV7ZZQ8EF,LSTACCFGPWHV7ZZQ8EFECJCKB,FLIPKART,https://www.flipkart.com/panasonic-aa-goldplus-1-5v-r6ndg-1b10-battery-pack-30/p/itmfgq2ehzhhwsmf
www.amazon.in/dp/B08WB3XGRP,B08WB3XGRP,,,,,
www.amazon.in/dp/B089571PDQ,B089571PDQ,https://www.flipkart.com/eveready-1012-battery/p/itmedc207e18e600?pid=ACCEUJSTP25VGBF5&lid=LSTACCEUJSTP25VGBF56SSDVT&marketplace=GROCERY&q=Eveready+1012+Carbon+Zinc+AAA+Battery&store=tyy%2F4mr%2Fw65&spotlightTagId=TrendingId_tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=c3d44bb2-f20e-4e58-ad82-d95c2ef4684d.ACCEUJSTP25VGBF5.SEARCH&ppt=sp&ppn=sp&ssid=de91owohz40000001644909169819&qH=40d9601a2f330356,ACCEUJSTP25VGBF5,LSTACCEUJSTP25VGBF56SSDVT,GROCERY,https://www.flipkart.com/eveready-1012-battery/p/itmedc207e18e600
www.amazon.in/dp/B07FWBT68J,B07FWBT68J,,,,,
www.amazon.in/dp/B01IP52BNK,B01IP52BNK,https://www.flipkart.com/eveready-1015-battery/p/itmc4757f8867d12?pid=ACCEUHMJYT7HWTV7&lid=LSTACCEUHMJYT7HWTV7WBGH2P&marketplace=GROCERY&q=Eveready+Battery+1015&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=85cf32b4-f6da-4ee1-afb4-17222ceb0f40.ACCEUHMJYT7HWTV7.SEARCH&ppt=sp&ppn=sp&ssid=7sf5bemuts0000001644909355085&qH=b6048260fe9f124d,ACCEUHMJYT7HWTV7,LSTACCEUHMJYT7HWTV7WBGH2P,GROCERY,https://www.flipkart.com/eveready-1015-battery/p/itmc4757f8867d12
