ASIN,Marketplace,username,rating,title,date,likes,dislikes,verified,description,Counts
TLCFUXS4WKRJ73W4,FLIPKART,NEERAJ RAJPAL,1,Utterly Disappointed,2022-04-08 00:00:00,0,0,"Certified Buyer , New Delhi",Costly in terms of weight as compare to market,2
TLCFRQBWCDTBKK54,FLIPKART,Ishika Banerjee,5,Highly recommended,2021-05-31 00:00:00,0,0,"Certified Buyer , Kolkata",Best cooling body powder ever.,2
TLCFRQBWCDTBKK54,FLIPKART,Flipkart Customer,5,Wonderful,2021-05-31 00:00:00,0,0,"Certified Buyer , Oragadam Industrial Area",I like this product. Thanks for timely delivery.,2
TLCGYQDZZZHTYVHW,FLIPKART,Flipkart Customer,5,Wonderful,2021-06-30 00:00:00,0,0,"Certified Buyer , Jaipur",Really love this powder.. Amazing fragrance My second purchase... Thanks flipkart & shower to shower😍,1
TLCGCXGEJJCKHRVG,FLIPKART,Sanil kumar Sivanandan pillai,5,Mind-blowing purchase,2022-06-08 00:00:00,0,0,"Certified Buyer , Thiruvananthapuram","No need of explanation, thanks",1
TLCGBWPDW9QBYGCW,FLIPKART,Akshat Raghuwanshi,4,Good choice,2022-07-08 00:00:00,0,0,"Certified Buyer , Silwani",Best product in low price . Very needed product during summer.,1
TLCGB9W2HFHZRE8H,FLIPKART,Riya Gaud,3,Fair,2022-06-08 00:00:00,0,0,"Certified Buyer , Mumbai",This is very good item 💓 I love it,1
TLCGB9Q2BYTGR2WR,FLIPKART,Zubair Mir,1,Did not meet expectations,2022-11-07 00:00:00,0,0,"Certified Buyer , Srinagar","Just like white dust, smell is too irritating go for other brands",1
TLCG3PEXMPFZ2GFG,FLIPKART,Chetan Dhacholia,3,Decent product,2021-07-31 00:00:00,2,0,"Certified Buyer , Bengaluru",Product is good but the expiry date mentioned of 2023 is incorrect. The product has expiry of Feb 2022,1
TLCG2HDUGHHSZYM5,FLIPKART,Flipkart Customer,5,Mind-blowing purchase,2022-05-08 00:00:00,0,0,"Certified Buyer , Sri Potti Sriramulu Nellore District",Good fragrance and good for controlling prickles for children,1
TLCG2HDNMK6GSXGG,FLIPKART,Flipkart Customer,5,Terrific,2022-09-08 00:00:00,0,0,"Certified Buyer , Kolkata",Very good  I am happy,1
TLCFUGXYUFMKZKCK,FLIPKART,Shirin Hasan,5,Just wow!,2022-08-08 00:00:00,0,0,"Certified Buyer , Ahmedabad",On time delivery.... As expected..... wonderful product 🤩🤩🤩🤩,1
TLCFSDEGHD8T6EPH,FLIPKART,Flipkart Customer,5,Brilliant,2021-07-31 00:00:00,1,1,"Certified Buyer , Bengaluru",It smells good and soothing to the skin.,1
TLCFH56FJWZ4MBYG,FLIPKART,Rakesh Khanna,5,Perfect product!,2022-10-27 00:00:00,0,0,"Certified Buyer , Chandigarh",Navratan cool talcum use in Summer best .,1
TLCFE7KUSQHMWWGE,FLIPKART,Flipkart Customer,5,Super!,2021-08-31 00:00:00,0,0,"Certified Buyer , Kochi",I'm satisfied with your product,1
TLCF4D8MAGTRGKZ5,FLIPKART,Babita Singh,3,Just okay,2018-08-31 00:00:00,17,0,"Certified Buyer , New Delhi",MRP of these product is 99×2=198 but it has been mentioned as 258 which is wrong. I buy this product in Rs 215 from Flipkart. It is costly as compare with local market.,1
TLCF4D7765BAQBFF,FLIPKART,Vishakha Malwad,3,Just okay,2020-09-30 00:00:00,0,0,"Certified Buyer , Ambejogai",Product is nice 👍 but poor packaging,1
TLCEUHM7P6X5HZXT,FLIPKART,Syed momin Syed ali,5,Excellent,2022-10-31 00:00:00,0,0,"Certified Buyer , Bengaluru",I feel happy to buy this product,1
