ASIN,Name
B0B2S2J742,Lloyd LWMS85KT1 (8.5 Kg) Semi Automatic Top Load Washing Machine (BLACK)
B08XMLJ5HL,"Lloyd 7.5 kg Semi Automatic Top Load Washing Machine (LWMS75RB1, Red)"
B08TMLJ7HB,"lloyd 7 kg Fully-Automatic Front Loading Washing Machine (LWMF70SX1, Silver)"
B099DW8641,"Lloyd Intellidrive 10.5 Kg Fully Automatic Top Load Washing Machine (LWMT05GX1, Grey)"
B09SHWW5DK,"Lloyd 6 KG Fully Automatic Top Load Washing Machines (LWMT60GE1, Grey)"
