ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B0B42PLS5P,Title - Tide Matic Front Load Detergent (1 Kg),Tide,,171,2,4,NA,NA,,,142,0,NA,0.166666667,Powder Detergent,
B00WUCSDI2,"Tide Plus Jasmine & Rose Detergent Powder, 4 kg Pack",Tide,500,92,132,4.4,NA,NA,500,500,171,0,NA,1,Powder Detergent,
B0B6J17SP3,Tide Ultra 5 Kg Semi-Auto Washing Machine and Hand Wash,Tide,756.93,313,,,NA,NA,800,761.06,295,0,Fulfilled,1,Powder Detergent,
B0B42NY54Y,Tide Matic Top Load Detergent (2+1 Kg powder),Tide,404,26,225,4.3,NA,NA,425,404,24,0,Fulfilled,1,Powder Detergent,
B07BDNNNXT,Tide Natural Detergent Powder Lemon & Chandan - 500 g,Tide,40,257,13,4.5,NA,NA,41,40,223,0,NA,0.833333333,Powder Detergent,
B07D3HDX8J,Tide with Extra Power - 500 g (Lemon and Mint),Tide,65,282,6,4.5,NA,NA,66,65,236,0,NA,1,Powder Detergent,
B085SFKVVH,Tide Ultra 3 in 1 Clean Detergent Washing Powder - 3 kg + 1 kg Free = 4 kg,Tide,489,21,5053,4.3,NA,NA,515,489,19,0,Fulfilled,1,Powder Detergent,
B08HNN86T4,Tide Ultra Anti-Germ Detergent Washing Powder 1kg,Tide,159,56,10363,4.4,NA,NA,160,159,60,0,NA,1,Powder Detergent,
B079QKMX9D,Tide Plus Extra Power Detergent Washing Powder - 4 kg (Jasmine and Rose),Tide,500,240,386,4.3,NA,NA,500,500,217,0,NA,1,Powder Detergent,
B07RNRQMJQ,Tide Ultra Matic Detergent Washing Powder 2 Kg,Tide,,250,119,4.2,NA,NA,,,251,0,NA,0,Powder Detergent,
B0BD8HVHVC,Tide Matic 3in1 PODs Liquid Detergent Pack 32 Count for Both Front Load and Top Load Washing Machines & Plus Detergent Washing Powder with double Power Lemon and Mint Pack - 1 kg,Tide,699,,,,NA,NA,840,699,,0,Fulfilled,1,Powder Detergent,
B08C24KCXF,"Tide regular Detergent Powder - Lemon & Mint, 8Kg",Tide,995,462,23,3.9,NA,NA,995,995,460,0,NA,1,Powder Detergent,
