ASIN,Category,Latest BSR,Last Day BSR
B07BHHCG3M,Powder Detergent,100.0,89.0
B071ZYNV95,Health & Personal Care,30723.0,40769.0
B071ZYNV95,Powder Detergent,197.0,237.0
B06ZZJ7NVH,Health & Personal Care,30.0,38.0
B06ZZJ7NVH,Powder Detergent,4.0,4.0
B01N21R6Q9,Health & Personal Care,66615.0,58822.0
B01N21R6Q9,Powder Detergent,369.0,331.0
B0937PPDK4,Health & Personal Care,39462.0,34446.0
B0937PPDK4,Powder Detergent,229.0,206.0
B01MRZZMYD,Health & Personal Care,4180.0,4363.0
B01MRZZMYD,Powder Detergent,61.0,61.0
B08WBPD1L4,Health & Personal Care,774.0,895.0
B08WBPD1L4,Powder Detergent,32.0,34.0
B078BCFQ7P,Health & Personal Care,6830.0,5160.0
B078BCFQ7P,Powder Detergent,75.0,65.0
B09R4RWG84,Health & Personal Care,9494.0,8943.0
B09R4RWG84,Powder Detergent,90.0,81.0
B09R4RWG84,Liquid Detergent,150.0,148.0
B0BD235MBP,Health & Personal Care,22.0,21.0
B0BD235MBP,Liquid Detergent,5.0,5.0
B071QXZQ9L,Health & Personal Care,44.0,46.0
B071QXZQ9L,Powder Detergent,6.0,6.0
B071QXZQ9L,Liquid Detergent,7.0,7.0
B07BHGWPKV,Health & Personal Care,2115.0,2379.0
B07BHGWPKV,Powder Detergent,46.0,47.0
B01N4GLE1I,Health & Personal Care,365.0,378.0
B01N4GLE1I,Powder Detergent,23.0,22.0
B07YFKKQN7,Health & Personal Care,52530.0,48821.0
B07YFKKQN7,Powder Detergent,285.0,270.0
B07DP7779R,Health & Personal Care,10982.0,12056.0
B07DP7779R,Powder Detergent,96.0,99.0
B0794QPXTL,Health & Personal Care,39742.0,22987.0
B0794QPXTL,Powder Detergent,230.0,148.0
B07RH199GJ,Health & Personal Care,66.0,51.0
B07RH199GJ,Powder Detergent,9.0,7.0
B07BHH32N7,Health & Personal Care,3384.0,2635.0
B07BHH32N7,Powder Detergent,55.0,49.0
B08C2G7NFZ,Health & Personal Care,44622.0,39197.0
B08C2G7NFZ,Powder Detergent,248.0,230.0
B01NALS5VE,Health & Personal Care,465.0,478.0
B01NALS5VE,Powder Detergent,26.0,25.0
B08DL1SRFZ,Health & Personal Care,67362.0,66954.0
B08DL1SRFZ,Powder Detergent,374.0,371.0
B09R4SF6QN,Health & Personal Care,5645.0,5073.0
B09R4SF6QN,Powder Detergent,73.0,64.0
B09R4SF6QN,Liquid Detergent,108.0,102.0
